nrh,ix,L,R
1,6,920,570
2,3,924,578
3,8,883,571
4,3,872,572
5,3,877,579
6,6,972,600
7,5,860,570
8,3,864,568
9,6,990,614
10,2,895,609
11,8,1003,586
12,6,880,614
13,6,981,607
14,5,976,641
15,4,965,615
16,3,964,634
17,5,921,584
18,3,955,630
19,6,1113,705
20,2,897,604
21,9,930,625
22,7,913,615
23,4,934,640
24,4,890,617
25,2,990,672
26,6,922,669
27,4,858,649
28,6,922,646
29,2,1075,756
30,1,900,644
31,1,993,680
32,9,942,674
33,5,904,662
34,3,924,709
35,9,1105,693
36,2,769,622
37,3,883,646
38,2,1013,684
39,5,866,630
40,6,965,716
41,3,999,744
42,9,972,715
43,8,910,699
44,4,818,670
45,8,967,742
46,1,795,618
47,5,935,711
48,5,1024,774
49,9,986,731
50,3,987,785
51,4,909,674
52,2,807,636
53,9,934,715
54,7,968,719
55,4,978,716
56,1,975,738
57,1,899,676
58,8,922,714
59,1,1089,777
60,7,820,653
61,9,935,730
62,5,922,719
63,3,805,695
64,7,978,767
65,2,830,696
66,3,925,719
67,3,819,676
68,2,1022,808
69,7,906,737
70,3,813,679
71,5,947,776
72,4,837,714
73,4,964,760
74,2,927,749
75,3,910,730
76,1,943,750
77,9,953,784
78,1,884,722
79,2,901,752
80,1,778,693
81,8,929,790
82,3,815,700
83,8,823,705
84,3,866,750
85,4,899,805
86,4,861,762
87,7,894,785
88,1,865,791
89,4,821,731
90,6,851,760
91,6,813,724
92,1,864,742
93,3,867,745
94,7,869,788
95,5,852,779
96,1,836,777
97,6,848,770
98,8,822,745
99,1,806,748
100,4,834,771
