nrh,ix,L,R
1,8,2355,1129
2,8,2352,1098
3,2,2368,1098
4,2,2358,1087
5,9,2343,1159
6,5,2393,1172
7,1,2288,1160
9,3,2377,1210
10,6,2342,1115
12,2,2314,1159
13,8,2298,1103
14,8,2501,1310
15,9,2416,1258
16,9,2346,1226
18,9,2397,1228
19,7,2397,1259
20,2,2346,1210
21,2,2467,1355
22,2,2487,1376
26,8,2317,1277
27,4,2483,1418
28,5,2512,1451
30,3,2429,1474
31,9,2427,1415
33,4,2551,1483
35,3,2465,1511
36,7,2257,1450
37,5,2370,1389
38,4,2443,1477
39,7,2545,1702
40,9,2322,1428
42,2,2457,1512
45,3,2514,1671
46,3,2498,1547
48,9,2413,1616
50,6,2454,1636
51,2,2502,1627
52,1,2245,1418
53,3,2381,1680
54,1,2250,1481
55,4,2493,1688
56,3,2349,1570
58,5,2452,1606
59,1,2370,1701
60,1,2380,1763
61,7,2429,1807
62,3,2483,1621
63,7,2284,1602
64,9,2370,1793
65,6,2246,1689
66,9,2510,1812
68,6,2513,1732
71,3,2339,1801
72,5,2510,1743
73,3,2303,1629
74,6,2451,1904
75,4,2252,1660
76,9,2294,1713
77,9,2290,1737
78,5,2252,1660
80,2,2368,1876
81,6,2407,1852
82,9,2189,1767
85,3,2302,1906
88,7,2319,1841
89,5,2277,1801
90,4,2268,1816
91,4,2169,1759
92,6,2266,1997
93,1,2288,1935
94,8,2262,1978
95,9,2046,1733
96,5,2017,1675
97,1,2128,1883
98,4,2251,1994
100,1,2206,1857
101,5,2201,1946
102,5,2276,2001
103,3,2292,2019
104,6,2122,1819
105,4,2091,1919
106,9,2213,1947
108,1,2196,1970
109,4,2125,1841
110,8,2124,1956
111,5,2222,1935
114,3,2228,2075
115,8,2096,1938
116,5,2072,1987
117,2,2154,1981
118,2,2076,1912
121,5,2120,2058
122,7,2124,1986
123,2,2118,2005
124,2,2035,1956
126,8,2083,1989
127,1,2036,1990
128,9,2005,1978
130,6,1988,1968
131,6,1988,1979
