nrh,ix,L,R
1,5,753,497
2,5,755,499
3,9,754,497
4,3,751,492
5,7,753,483
6,4,768,506
7,5,745,504
8,1,735,465
10,9,741,498
12,5,729,462
13,9,755,473
14,1,746,497
15,2,749,502
16,3,761,491
17,7,705,452
18,8,716,451
19,9,704,468
21,8,743,479
22,3,718,479
25,4,711,464
26,8,731,467
27,2,711,477
28,3,722,480
29,5,676,421
30,9,703,469
31,6,689,470
32,1,739,491
33,8,670,455
34,8,684,446
35,6,663,462
36,1,699,470
37,4,666,433
39,5,630,474
41,7,669,473
42,3,614,466
44,5,681,474
45,8,649,479
46,3,618,454
48,8,626,445
49,1,617,424
50,9,605,458
51,6,635,494
52,8,603,445
53,8,652,494
54,4,626,475
55,3,606,471
56,5,586,475
57,2,564,461
58,4,602,469
59,3,494,390
60,8,556,453
61,9,463,407
62,5,515,423
65,3,535,466
66,8,421,402
67,8,494,455
68,7,442,417
69,5,417,379
70,9,502,466
71,8,407,375
72,7,466,428
73,4,460,447
74,8,447,422
75,2,412,404
77,6,411,388
78,2,433,425
79,6,404,399
81,2,359,349
82,6,388,386
84,9,359,371
85,2,408,407
86,1,363,366
87,7,354,356
88,3,379,379
89,9,315,323
90,9,354,363
91,8,378,398
92,5,348,344
94,4,331,360
95,7,302,343
97,5,298,342
98,2,302,347
99,6,239,321
100,4,333,380
101,5,271,324
103,2,242,330
105,8,208,333
106,7,200,306
107,1,176,319
108,4,205,323
109,7,169,310
110,3,167,329
111,5,197,324
112,8,164,335
113,2,182,335
114,1,166,326
116,8,147,332
117,1,154,339
118,2,146,339
120,9,151,336
