nrh,ix,L,R
1,5,1986,1572
4,7,1997,1563
6,7,2038,1641
7,1,2018,1605
8,7,2050,1669
10,2,2015,1642
16,1,2062,1691
17,6,2058,1693
19,4,2081,1723
20,1,2086,1744
21,9,2052,1684
22,1,2093,1782
23,3,2086,1736
25,9,2113,1787
27,9,2086,1738
32,5,2109,1825
33,5,2124,1830
34,9,2085,1765
38,5,2122,1868
41,4,2124,1818
42,4,2130,1820
44,4,2145,1857
45,6,2116,1823
48,1,2097,1844
49,5,2154,1885
50,3,2154,1902
51,2,2212,1933
52,5,2185,1951
58,3,2147,1890
60,7,2213,1934
63,5,2229,2004
68,3,2207,1926
71,7,2247,2012
72,3,2244,2032
77,3,2256,2047
78,8,2256,2072
79,1,2303,2113
80,4,2265,2021
83,6,2277,2089
84,2,2291,2071
91,4,2267,2110
95,4,2270,2056
106,5,2270,2134
109,6,2277,2180
110,3,2287,2160
111,9,2309,2214
113,2,2340,2287
115,6,2324,2209
116,8,2286,2152
117,3,2337,2187
120,4,2333,2158
123,1,2307,2142
124,3,2349,2216
130,9,2280,2195
131,6,2323,2284
132,4,2341,2286
134,1,2315,2232
135,2,2281,2230
136,9,2296,2233
137,5,2302,2263
138,8,2320,2260
141,7,2356,2265
146,8,2340,2286
147,9,2297,2285
148,4,2309,2285
150,1,2316,2282
157,8,2357,2368
158,6,2281,2300
163,8,2298,2323
165,3,2285,2320
167,7,2272,2310
170,1,2298,2308
172,1,2307,2325
174,9,2263,2392
177,3,2279,2363
180,3,2255,2325
181,6,2260,2317
184,9,2210,2336
185,2,2208,2332
187,7,2291,2299
188,3,2198,2327
190,3,2214,2336
192,9,2188,2315
193,5,2171,2322
196,9,2162,2324
198,3,2220,2343
204,5,2195,2331
205,8,2172,2299
209,9,2178,2308
215,9,2095,2310
216,3,2109,2299
217,3,2106,2294
223,2,2068,2289
224,1,2116,2319
226,8,2112,2305
227,5,2080,2303
228,4,2084,2283
232,8,2049,2291
233,7,2063,2297
234,2,2050,2294
