nrh,ix,L,R
4,9,1739,278
5,4,1757,294
11,9,1749,304
12,8,1750,301
13,2,1773,325
24,4,1819,391
26,7,1847,435
28,1,1838,432
29,5,1800,400
31,1,1899,506
33,6,1878,420
36,5,1938,571
37,5,1803,445
38,6,1903,520
39,1,1932,588
42,4,1868,488
44,9,1945,549
46,1,1861,535
51,8,1967,728
53,1,1947,703
57,5,1870,654
61,2,1922,814
62,9,1987,740
64,7,1942,830
65,4,1834,752
67,2,1909,789
68,7,1859,782
74,5,1825,905
79,9,1866,839
82,5,1931,1158
83,5,1828,952
84,7,1903,1179
85,8,1837,1130
89,8,1934,1159
91,4,1864,1229
92,5,1839,1179
95,9,1851,1300
97,3,1800,1383
98,2,1925,1277
101,8,1755,1298
102,8,1801,1534
103,2,1803,1376
108,8,1736,1444
109,7,1813,1629
110,9,1714,1592
111,7,1768,1478
115,2,1676,1544
118,1,1606,1582
119,1,1688,1622
120,2,1604,1942
122,6,1686,1579
125,9,1693,1597
127,5,1582,1856
130,5,1568,1602
131,9,1598,1760
132,2,1489,1721
134,2,1469,1826
137,5,1506,1793
138,4,1466,1947
140,7,1601,1897
143,3,1441,2067
144,6,1484,1940
146,6,1468,2023
150,8,1460,1918
152,8,1247,2012
155,1,1401,2151
157,7,1373,2103
160,6,1393,2150
161,1,1261,2112
163,6,1239,2094
164,1,1425,2058
168,8,1210,2122
169,4,1163,2136
171,6,1237,2244
173,1,1319,2209
174,4,1261,2253
176,3,1165,2229
182,3,1118,2216
183,4,1184,2256
184,1,1103,2228
185,4,1109,2237
186,6,1140,2305
188,3,1085,2237
189,2,1131,2211
190,1,1138,2257
191,3,1043,2164
193,6,1108,2253
194,3,1088,2181
196,4,978,2264
197,1,1047,2250
198,6,970,2277
199,2,1037,2248
200,3,970,2216
201,2,1006,2290
202,3,1024,2327
204,4,987,2276
209,8,946,2239
210,3,960,2245
212,9,922,2239
214,1,907,2253
