nrh,ix,L,R
1,7,2822,2592
4,1,2820,2628
5,2,2831,2646
7,2,2803,2647
8,2,2796,2703
9,4,2807,2662
11,1,2816,2592
12,8,2777,2613
13,6,2761,2750
14,1,2769,2672
15,4,2769,2726
16,4,2748,2700
18,1,2745,2745
19,2,2734,2701
21,8,2743,2762
22,9,2761,2639
23,5,2734,2750
27,9,2707,2694
28,7,2700,2757
29,6,2681,2762
30,2,2668,2762
31,4,2704,2761
32,9,2714,2775
33,7,2701,2770
34,3,2688,2791
35,3,2633,2818
36,4,2657,2807
37,6,2632,2778
38,2,2638,2753
39,5,2633,2819
40,1,2631,2787
41,5,2676,2808
43,7,2673,2896
46,1,2594,2825
48,2,2587,2794
52,2,2616,2901
54,5,2505,2803
56,5,2547,2820
58,6,2564,2891
59,7,2505,2915
61,4,2514,2879
62,6,2506,2896
65,7,2453,2877
66,6,2474,2882
67,5,2399,2881
68,3,2469,2878
70,8,2375,2877
72,1,2275,2842
73,3,2394,2819
74,2,2387,2926
75,9,2352,2855
76,3,2319,2844
78,3,2326,2918
79,7,2333,2902
80,5,2330,2890
81,3,2265,2828
84,6,2252,2878
85,7,2146,2839
86,9,2197,2851
87,2,2337,2925
88,3,2116,2864
89,2,2277,2891
90,2,2191,2885
92,4,2237,2896
93,5,2133,2859
94,1,2149,2884
95,8,2192,2920
96,3,1980,2871
99,5,2110,2938
100,5,2063,2889
102,4,2073,2936
103,6,2011,2854
105,9,1893,2886
106,8,1923,2818
107,4,1990,2891
108,8,1989,2923
110,8,1916,2847
111,6,1976,2882
112,1,1844,2824
113,5,1865,2835
114,5,1831,2868
115,9,1846,2852
116,8,1803,2875
118,6,1770,2786
119,5,1851,2856
120,4,1819,2830
122,8,1800,2882
124,4,1800,2821
125,1,1820,2857
126,7,1736,2822
127,4,1701,2801
128,2,1690,2795
129,4,1655,2793
130,5,1722,2822
133,6,1647,2778
134,8,1579,2738
135,8,1635,2776
136,3,1618,2768
137,5,1601,2769
138,5,1611,2770
