nrh,ix,L,R
1,2,2728,1633
2,4,2726,1670
4,7,2708,1698
5,8,2722,1702
6,3,2749,1753
7,1,2743,1695
8,7,2780,1799
9,6,2725,1806
10,6,2759,1843
11,4,2781,1816
13,5,2814,1831
14,9,2695,1851
15,7,2756,1854
17,4,2734,1903
18,2,2703,1972
19,5,2757,1972
20,9,2732,1977
21,2,2755,1991
22,4,2763,1958
23,2,2753,2036
24,7,2818,2069
25,8,2776,2064
27,7,2789,2124
28,5,2778,2109
29,3,2707,2118
30,1,2850,2217
31,3,2797,2180
32,7,2822,2227
33,9,2761,2223
34,8,2771,2212
35,4,2745,2252
36,1,2778,2278
37,6,2718,2264
38,1,2660,2240
39,2,2796,2299
40,2,2760,2358
41,3,2709,2305
42,3,2786,2353
43,3,2754,2339
44,2,2762,2320
45,7,2676,2357
46,8,2808,2444
47,8,2726,2387
48,1,2757,2445
49,4,2720,2443
50,8,2724,2453
51,2,2701,2478
52,3,2646,2406
53,7,2720,2441
54,7,2690,2537
55,8,2664,2442
56,4,2728,2549
57,6,2739,2554
58,7,2710,2525
59,4,2692,2583
60,7,2722,2636
61,9,2642,2590
62,5,2534,2634
63,7,2656,2606
65,9,2643,2676
66,9,2687,2707
67,2,2589,2678
68,7,2652,2687
69,8,2611,2692
70,3,2607,2705
71,9,2590,2693
72,4,2611,2705
73,2,2568,2753
74,8,2622,2742
75,7,2529,2730
76,9,2582,2773
77,1,2546,2801
78,8,2584,2774
79,6,2578,2788
80,1,2466,2771
81,7,2510,2805
82,5,2570,2838
83,1,2521,2791
84,3,2489,2827
85,2,2501,2815
86,2,2471,2818
87,3,2439,2843
88,6,2473,2856
89,1,2433,2852
90,1,2466,2873
91,5,2491,2885
92,9,2453,2889
93,2,2388,2843
94,3,2416,2858
95,3,2319,2871
96,5,2422,2880
97,5,2382,2867
98,8,2354,2876
99,2,2308,2883
100,2,2325,2882
101,8,2323,2887
102,8,2318,2894
103,7,2311,2886
104,7,2285,2887
106,3,2259,2898
