nrh,ix,L,R
1,9,2634,1983
2,4,2633,1989
3,1,2645,2032
4,7,2662,2055
5,7,2650,2052
6,7,2657,2071
7,3,2635,2070
8,2,2661,2096
9,1,2654,2094
10,8,2683,2123
11,1,2674,2183
12,1,2679,2144
13,9,2664,2184
14,2,2699,2202
15,9,2660,2209
16,6,2647,2210
17,7,2646,2239
18,5,2686,2266
19,6,2694,2267
20,5,2692,2244
21,8,2638,2256
22,7,2655,2266
23,7,2712,2328
24,3,2663,2330
25,3,2689,2323
26,4,2733,2358
27,2,2718,2352
28,7,2649,2320
29,3,2648,2330
30,5,2642,2385
31,2,2659,2385
32,7,2676,2400
33,7,2672,2437
34,6,2662,2461
35,1,2664,2438
37,3,2711,2481
38,6,2673,2501
39,4,2678,2530
41,5,2645,2531
42,6,2647,2521
43,9,2657,2502
44,2,2668,2545
46,5,2640,2593
47,1,2621,2563
48,7,2647,2553
49,1,2591,2632
51,8,2616,2648
52,3,2555,2610
53,5,2644,2662
54,5,2595,2630
55,4,2600,2659
56,3,2575,2646
57,5,2570,2637
58,9,2584,2630
59,6,2566,2648
61,4,2577,2676
62,3,2575,2732
63,1,2555,2717
64,9,2563,2717
65,7,2576,2754
66,8,2556,2728
67,7,2554,2763
68,8,2567,2756
69,8,2555,2738
70,7,2554,2724
71,1,2470,2735
72,5,2497,2689
73,9,2540,2781
74,9,2498,2801
75,5,2511,2754
76,1,2540,2759
77,7,2487,2724
78,7,2481,2782
80,7,2470,2755
81,9,2505,2789
82,3,2490,2793
83,3,2463,2778
84,2,2483,2767
85,4,2496,2787
86,8,2471,2803
87,3,2450,2815
88,7,2415,2798
89,8,2460,2759
90,2,2430,2806
91,1,2424,2802
92,9,2443,2823
93,5,2417,2811
94,8,2365,2787
95,7,2378,2799
96,7,2373,2808
97,7,2374,2810
98,2,2374,2806
99,4,2369,2819
100,4,2330,2787
101,7,2331,2811
102,5,2304,2813
103,6,2300,2807
104,5,2305,2806
105,3,2292,2806
106,6,2296,2814
