nrh,ix,L,R
3,5,2641,713
5,6,2615,689
6,6,2635,724
8,9,2697,773
9,6,2558,725
12,4,2563,745
13,7,2676,827
14,3,2602,801
15,9,2642,798
16,5,2684,846
17,9,2619,877
18,1,2514,814
19,4,2623,848
20,1,2612,826
22,8,2608,851
23,5,2620,882
25,1,2554,855
27,6,2544,872
28,6,2689,927
29,8,2569,914
31,4,2640,964
32,3,2559,944
33,8,2565,954
34,7,2643,976
35,1,2594,999
36,5,2599,938
37,3,2551,976
38,9,2613,994
39,5,2561,1009
40,9,2653,1056
41,2,2404,927
44,7,2493,1051
46,6,2596,1050
47,8,2546,1099
48,2,2535,1024
49,2,2549,1078
53,7,2515,1118
54,4,2449,1195
55,5,2372,1068
56,3,2555,1134
57,6,2521,1186
59,7,2686,1235
60,6,2503,1145
61,5,2599,1244
62,9,2415,1134
64,1,2528,1221
65,3,2502,1286
66,1,2494,1222
67,3,2475,1231
68,9,2569,1286
69,8,2386,1179
71,5,2608,1287
73,4,2461,1352
74,5,2311,1213
75,3,2216,1203
78,3,2283,1269
80,9,2137,1257
81,2,2248,1250
82,5,2284,1333
83,4,2307,1376
84,8,2143,1273
88,2,2396,1436
89,4,2239,1396
90,8,2208,1396
91,9,2403,1463
93,3,2156,1486
94,2,2119,1486
95,2,2247,1519
96,2,2301,1591
99,3,2088,1492
101,3,2168,1511
102,5,2028,1435
103,3,1973,1487
104,2,2016,1547
105,2,2004,1494
106,8,1831,1474
107,9,1980,1543
108,3,1882,1526
109,3,2009,1530
110,2,1925,1565
111,7,1988,1521
112,9,1884,1572
114,1,1935,1551
115,2,1884,1576
116,8,1833,1547
118,9,1702,1515
119,5,2010,1643
122,8,1623,1546
123,1,1776,1597
124,4,1552,1573
126,5,1541,1564
127,7,1501,1543
128,3,1571,1581
129,5,1584,1587
130,6,1486,1580
132,7,1401,1600
133,4,1395,1596
134,1,1392,1566
136,9,1306,1587
137,9,1317,1600
