nrh,ix,L,R
1,2,2753,1571
2,6,2759,1573
3,4,2740,1559
4,7,2745,1594
6,3,2721,1587
7,8,2729,1571
8,3,2734,1608
9,6,2723,1583
10,2,2717,1605
13,3,2670,1629
14,4,2713,1636
15,1,2685,1643
16,1,2735,1662
18,7,2695,1659
19,2,2681,1676
20,5,2647,1659
22,1,2625,1660
23,5,2709,1739
24,9,2599,1658
25,5,2676,1754
27,6,2633,1690
28,5,2626,1691
29,9,2597,1706
30,6,2572,1711
32,6,2576,1721
33,2,2574,1699
35,6,2599,1758
36,3,2528,1742
37,3,2581,1722
38,2,2520,1759
40,2,2536,1763
41,6,2484,1737
42,3,2545,1737
43,7,2540,1782
44,5,2483,1773
46,6,2467,1736
49,9,2505,1776
50,4,2441,1776
51,1,2393,1786
52,4,2415,1789
53,7,2390,1747
54,3,2409,1781
55,5,2345,1786
56,7,2288,1764
57,4,2380,1825
59,1,2202,1718
60,2,2308,1822
61,5,2160,1770
62,5,2204,1752
63,4,2272,1849
64,1,2306,1806
65,8,2235,1791
66,9,2175,1748
67,6,2164,1830
69,1,2177,1840
70,2,2144,1754
71,6,2214,1851
72,8,2024,1823
73,5,2016,1805
74,9,2040,1821
75,8,2057,1856
76,8,2027,1809
77,6,2047,1800
79,9,1953,1712
80,3,1946,1723
81,2,2001,1791
82,5,1935,1761
83,3,1924,1807
84,4,2000,1822
85,9,1804,1759
86,8,1754,1750
87,5,1794,1782
88,5,1709,1723
89,4,1766,1746
90,2,1761,1779
91,9,1774,1850
92,8,1695,1762
93,7,1698,1738
94,4,1748,1747
95,5,1633,1710
96,9,1633,1704
98,7,1616,1744
99,8,1630,1735
100,3,1465,1681
101,8,1575,1809
102,5,1563,1738
103,5,1506,1701
104,2,1495,1686
105,1,1415,1630
106,2,1386,1693
108,7,1424,1742
109,4,1359,1675
110,3,1308,1650
111,5,1302,1681
112,6,1292,1664
113,9,1272,1654
114,4,1243,1642
115,4,1263,1653
116,1,1228,1623
117,4,1201,1629
