nrh,ix,L,R
1,4,1361,451
2,1,1364,499
4,9,1354,463
7,7,1250,528
9,9,1324,538
10,8,1130,584
11,4,1209,555
14,4,1220,638
15,6,1157,645
16,5,1117,612
17,6,1162,661
18,7,1246,674
21,9,1175,603
23,9,1092,707
24,8,968,753
26,9,1016,719
28,4,945,733
29,7,858,809
31,6,858,808
32,9,980,761
33,9,823,866
34,9,852,861
35,7,792,857
36,9,795,885
37,3,791,853
38,6,802,870
39,4,899,877
40,3,807,852
41,2,861,928
42,3,763,925
44,7,753,998
45,5,709,1012
46,8,646,992
47,2,722,929
48,1,704,950
49,7,678,982
50,2,609,1053
51,1,563,990
53,6,603,994
54,4,673,894
55,5,599,1003
56,4,557,1052
57,7,611,1132
58,9,529,1037
59,8,582,1140
60,5,529,1036
61,8,520,1141
62,2,512,1133
63,6,577,1107
64,6,498,1135
65,7,510,1092
66,4,534,1063
67,4,543,1180
68,1,469,1138
69,7,490,1212
70,9,472,1103
71,7,435,1170
72,2,477,1216
73,6,452,1052
74,1,470,1114
75,6,441,1260
78,2,426,1251
79,1,471,1212
80,9,397,1290
83,4,369,1253
84,1,386,1232
85,1,380,1281
86,5,388,1247
87,6,345,1236
88,1,380,1227
90,4,373,1325
91,2,353,1265
92,5,339,1317
93,6,315,1221
94,2,308,1237
96,3,340,1270
97,3,324,1314
98,8,307,1279
100,6,270,1210
102,7,280,1283
103,6,268,1272
104,8,289,1286
105,8,289,1318
106,8,264,1329
107,8,293,1335
109,8,289,1319
110,5,300,1362
111,1,281,1331
112,9,258,1304
114,6,271,1336
115,5,292,1389
116,6,286,1353
117,7,277,1373
119,8,276,1360
120,4,260,1340
121,2,273,1375
123,2,266,1351
124,5,251,1347
125,3,267,1373
126,6,253,1355
