nrh,ix,L,R
1,2,1299,1408
2,4,1294,1403
6,8,1305,1422
9,2,1327,1425
10,3,1320,1439
12,5,1307,1405
14,7,1346,1457
16,4,1346,1460
18,1,1336,1455
21,9,1335,1460
22,6,1347,1465
24,8,1335,1439
27,1,1372,1490
28,3,1378,1498
31,1,1332,1464
32,9,1406,1553
34,4,1371,1510
35,2,1378,1515
37,2,1364,1486
38,6,1395,1549
40,4,1374,1490
43,3,1373,1535
45,7,1404,1575
48,1,1404,1571
50,5,1397,1571
54,8,1410,1606
55,4,1402,1591
56,4,1416,1607
57,8,1372,1553
59,5,1415,1620
65,7,1381,1573
66,9,1354,1563
68,6,1393,1571
69,5,1409,1606
71,6,1392,1612
73,9,1370,1571
75,7,1422,1623
76,4,1399,1636
77,2,1376,1594
79,1,1396,1606
81,1,1389,1619
83,3,1393,1607
84,2,1370,1593
86,5,1406,1617
87,5,1413,1697
91,7,1373,1622
94,5,1383,1643
95,5,1396,1627
96,9,1378,1651
97,7,1355,1589
98,6,1372,1617
101,3,1373,1619
104,2,1407,1666
105,2,1367,1637
107,1,1337,1583
108,8,1325,1573
110,1,1352,1613
111,6,1340,1589
114,7,1357,1643
115,9,1369,1644
116,5,1348,1610
119,2,1336,1609
121,3,1333,1589
123,1,1346,1590
124,7,1347,1655
125,6,1336,1636
127,8,1329,1599
130,2,1335,1610
131,7,1313,1583
132,3,1311,1586
134,2,1302,1592
137,9,1310,1607
142,7,1274,1571
143,8,1289,1580
144,6,1276,1586
146,2,1268,1597
148,5,1296,1601
151,7,1267,1577
152,5,1276,1604
154,6,1262,1575
158,2,1250,1569
159,5,1227,1547
160,3,1267,1565
161,7,1241,1551
162,8,1241,1558
163,9,1228,1542
165,4,1247,1572
167,1,1243,1556
169,3,1228,1555
170,9,1223,1546
171,9,1224,1541
172,2,1220,1549
174,1,1203,1521
175,3,1216,1550
176,6,1189,1508
177,9,1176,1511
180,5,1174,1510
182,7,1165,1505
183,3,1163,1494
184,8,1163,1500
