nrh,ix,L,R
3,5,1335,1063
5,1,1342,1077
8,3,1351,1103
9,1,1338,1087
10,2,1386,1130
13,7,1363,1123
14,7,1348,1118
17,2,1339,1072
20,8,1343,1095
22,3,1359,1139
26,7,1345,1162
28,6,1312,1141
31,8,1353,1196
34,9,1386,1240
36,1,1329,1180
37,5,1296,1165
38,2,1298,1189
40,5,1278,1193
41,1,1312,1213
42,8,1294,1199
43,7,1320,1236
44,4,1318,1215
45,7,1320,1207
47,3,1235,1174
48,9,1269,1208
49,2,1297,1202
50,6,1294,1248
51,5,1360,1314
53,9,1296,1270
54,6,1324,1265
57,8,1320,1303
61,2,1270,1297
63,7,1227,1224
66,3,1320,1302
68,2,1283,1315
70,9,1236,1260
73,9,1254,1289
75,3,1182,1267
79,3,1248,1277
81,2,1127,1258
83,4,1189,1211
85,5,1166,1175
86,5,1215,1337
87,1,1222,1355
88,9,1139,1314
89,5,1184,1303
90,3,1146,1242
92,6,1134,1252
93,3,1055,1216
97,9,1156,1267
98,1,1165,1228
100,7,1035,1195
101,2,990,1202
103,7,1094,1289
104,6,1062,1331
110,5,1108,1333
111,6,1005,1283
114,3,1074,1320
115,4,1100,1380
116,6,1010,1306
117,7,986,1241
118,7,1010,1333
119,7,1030,1332
120,4,1027,1331
121,4,955,1190
125,7,1012,1295
126,5,1061,1357
132,3,950,1284
136,2,902,1241
138,4,979,1258
140,8,960,1317
142,2,890,1229
143,4,821,1167
144,9,818,1146
145,2,916,1268
146,4,900,1286
147,6,853,1221
148,7,888,1267
149,4,837,1272
151,9,801,1198
152,4,838,1221
156,8,870,1282
157,7,815,1240
158,5,814,1271
160,4,862,1243
161,1,785,1149
167,7,782,1245
168,9,798,1240
172,7,753,1218
173,3,768,1226
175,7,741,1203
176,5,718,1203
178,4,735,1191
179,8,748,1224
184,9,668,1178
185,3,711,1204
187,3,698,1221
188,4,681,1196
189,5,675,1188
194,5,640,1193
