nrh,ix,L,R
1,6,2197,702
3,1,2205,723
5,9,2196,730
7,7,2234,870
8,8,2206,832
10,1,2249,943
11,3,2219,949
14,8,2225,1004
15,2,2237,1072
16,5,2251,1037
21,2,2193,1062
22,7,2201,1141
25,5,2240,1261
26,3,2196,1206
27,9,2181,1240
29,7,2201,1224
30,5,2171,1367
31,9,2195,1259
33,6,2210,1277
34,3,2186,1325
37,3,2171,1404
38,3,2158,1392
39,7,2112,1342
41,3,2126,1322
44,6,2097,1572
47,4,2125,1588
49,1,2122,1555
50,2,2069,1538
51,9,2066,1564
54,1,2073,1579
56,4,1957,1647
58,5,1997,1641
61,1,1975,1727
62,1,1977,1629
63,1,2030,1764
64,3,1945,1777
65,4,1997,1676
66,5,1923,1761
67,9,1940,1734
68,5,1970,1786
70,9,1845,1831
71,2,1915,1830
72,8,1953,1831
73,4,1788,1783
74,4,1792,1851
75,3,1885,1828
76,3,1729,1779
77,3,1759,1835
79,8,1694,1781
80,2,1696,1815
81,6,1732,1869
82,4,1794,1809
84,4,1684,1798
86,2,1622,1832
87,4,1608,1789
88,3,1711,1894
89,4,1708,1907
90,7,1686,2005
95,6,1593,1853
97,8,1599,1978
99,3,1499,1966
100,3,1549,1915
101,6,1447,2027
102,5,1405,2038
103,8,1478,1934
104,4,1513,1940
105,4,1550,2038
107,7,1433,1939
108,2,1507,2009
109,5,1421,1999
110,7,1475,2040
111,2,1379,2078
112,4,1328,1923
113,5,1361,1945
115,3,1320,2033
116,8,1356,1982
118,5,1244,1958
123,3,1255,2053
124,2,1234,2047
125,7,1141,2013
128,3,1191,2057
131,1,1112,2014
132,1,1155,2038
134,9,1086,2069
135,3,1094,2013
136,8,1155,2084
137,8,1048,2074
139,6,1012,2016
141,2,990,2039
142,7,992,2056
143,5,944,2016
145,9,966,2065
147,4,939,2080
148,7,917,2069
149,8,897,2070
150,8,893,2035
151,8,861,2024
152,8,876,2044
154,4,836,2049
155,7,819,2047
