nrh,ix,L,R
2,1,2314,1274
3,1,2301,1259
5,3,2326,1295
6,1,2326,1317
7,2,2312,1275
9,5,2357,1343
12,8,2318,1350
13,2,2363,1375
14,7,2337,1377
15,6,2355,1366
17,3,2343,1390
18,1,2317,1388
20,1,2332,1368
22,1,2316,1360
26,7,2377,1449
27,1,2331,1404
30,9,2349,1422
31,7,2374,1436
32,2,2299,1401
38,5,2356,1429
39,8,2353,1536
40,9,2375,1495
46,1,2354,1493
47,2,2322,1580
49,7,2236,1472
50,8,2270,1394
51,5,2336,1551
52,6,2375,1555
53,4,2355,1541
55,6,2314,1577
58,7,2263,1510
59,7,2346,1640
60,6,2401,1665
61,4,2342,1545
63,2,2273,1526
68,8,2306,1621
69,9,2288,1638
71,7,2325,1658
72,6,2284,1642
75,7,2283,1605
76,7,2363,1701
77,9,2302,1681
78,9,2338,1659
80,6,2258,1640
81,4,2329,1696
82,5,2269,1713
83,7,2244,1715
85,2,2266,1675
87,9,2213,1654
92,8,2275,1758
93,8,2238,1752
95,4,2271,1762
96,4,2207,1749
100,2,2324,1909
101,3,2280,1830
103,6,2233,1721
105,8,2179,1735
107,4,2079,1707
109,4,2240,1808
111,9,2175,1717
112,5,2234,1819
113,5,2247,1910
115,7,2179,1779
116,7,2154,1827
117,1,2091,1852
118,1,2157,1893
119,3,2147,1840
120,4,2171,1890
122,8,2132,1815
128,3,2181,1892
131,5,1986,1881
132,8,2078,1847
137,1,2150,1948
138,5,2116,2006
140,4,2066,1934
144,8,2023,1863
146,9,2072,1925
149,3,1962,1920
153,9,2027,1957
154,3,1917,1906
155,4,1960,1948
156,9,1929,1911
157,7,2004,2007
158,7,1959,1969
159,8,1924,1907
161,1,1965,1975
162,5,1810,1892
163,5,1955,1993
164,6,1898,1919
165,8,1936,1965
167,5,1912,1973
168,6,1827,1865
169,6,1811,1853
172,5,1769,1923
173,9,1744,1881
174,6,1812,1942
175,9,1787,1933
176,6,1681,1888
177,7,1724,1937
179,1,1682,1893
