nrh,ix,L,R
1,3,2232,1081
3,8,2222,1086
7,1,2246,1160
10,7,2255,1167
14,9,2235,1204
19,8,2256,1230
21,1,2237,1169
25,1,2271,1334
28,2,2192,1235
31,4,2290,1335
36,8,2250,1368
38,4,2204,1259
42,5,2235,1417
44,1,2260,1516
46,6,2239,1435
47,5,2192,1399
48,7,2242,1467
52,8,2283,1495
53,6,2289,1549
57,4,2257,1560
58,5,2212,1439
59,6,2266,1543
64,2,2252,1672
65,8,2295,1652
66,3,2204,1454
67,6,2232,1622
72,5,2235,1538
75,5,2262,1714
76,3,2191,1651
79,1,2273,1743
82,7,2235,1707
83,2,2263,1756
85,8,2196,1763
87,4,2130,1676
92,9,2230,1799
94,3,2172,1790
95,4,2186,1772
96,6,2183,1788
97,7,2178,1722
99,3,2111,1809
107,9,2110,1769
108,6,2233,1918
116,5,2124,1956
117,8,2104,1941
119,8,2078,1838
121,7,1990,1659
122,3,2172,1961
123,6,2192,2004
124,5,2122,1992
125,9,2196,2110
126,8,2066,1889
127,2,2032,1917
129,9,2099,1943
138,8,2098,1995
139,7,2070,2015
141,8,2066,2093
142,5,2054,1978
145,2,2194,2096
146,2,2032,1898
153,7,2005,1978
155,1,1991,2050
156,6,2002,2059
158,7,1973,1992
161,3,2065,2137
162,1,1938,2048
166,1,2034,2077
169,8,2014,2212
170,6,1980,2169
171,1,1944,2130
174,7,1866,2187
175,7,1971,2162
178,3,1978,2145
179,6,1926,2258
183,2,1894,2267
184,3,1962,2281
187,4,1734,2106
190,4,1933,2230
193,1,1813,2194
196,7,1746,2094
198,4,1870,2214
200,4,1828,2245
206,1,1695,2216
207,9,1752,2250
213,7,1739,2328
214,3,1697,2188
217,3,1693,2316
220,6,1689,2371
222,2,1666,2263
223,2,1612,2281
227,4,1557,2313
231,8,1614,2352
232,4,1508,2304
238,9,1537,2320
239,6,1487,2318
241,3,1511,2335
242,8,1497,2328
245,2,1485,2369
248,9,1453,2349
250,2,1433,2346
251,6,1442,2356
