nrh,ix,L,R
3,9,2435,2113
4,3,2434,2111
5,7,2436,2138
6,9,2434,2129
7,8,2425,2138
11,8,2443,2133
12,4,2439,2158
14,4,2429,2151
15,7,2454,2174
21,3,2419,2220
22,7,2431,2255
23,6,2438,2234
24,4,2430,2236
25,4,2435,2265
28,2,2430,2215
29,1,2439,2272
31,2,2408,2304
32,8,2474,2287
36,6,2431,2338
37,4,2420,2394
40,1,2432,2345
46,5,2408,2417
47,9,2445,2374
48,8,2405,2376
51,4,2416,2383
54,2,2437,2459
56,9,2427,2458
58,3,2387,2537
67,4,2439,2587
68,5,2391,2546
69,9,2355,2554
72,4,2397,2577
73,2,2388,2576
78,1,2364,2629
79,2,2397,2629
86,5,2344,2661
92,5,2365,2663
93,5,2351,2687
97,9,2323,2717
98,5,2331,2702
100,8,2347,2677
103,2,2293,2728
107,7,2318,2754
108,8,2266,2787
113,1,2334,2805
114,3,2312,2726
115,9,2257,2765
116,4,2272,2789
118,7,2320,2781
126,5,2250,2751
128,1,2248,2823
129,3,2251,2859
131,1,2276,2825
132,8,2243,2865
133,7,2221,2824
134,3,2224,2845
135,5,2244,2870
137,4,2240,2845
138,9,2184,2916
141,3,2163,2891
147,2,2173,2910
148,6,2178,2902
151,5,2210,2935
152,9,2125,2933
156,7,2168,2921
160,1,2101,2953
165,2,2057,2972
167,4,2115,2958
168,7,2098,2943
169,8,2090,2967
170,7,2058,2954
171,6,2057,2977
174,9,2098,2977
176,9,2012,2968
177,2,2076,2986
178,9,2033,2943
179,4,2020,2940
182,4,2019,2981
183,3,2022,2955
184,1,2023,2968
185,1,1919,2991
186,1,2039,2971
187,8,2015,3004
193,5,1955,3022
197,4,1967,3000
198,9,1906,3011
200,1,1897,2959
202,7,1969,2999
203,6,1916,3012
215,1,1860,3013
221,9,1826,3017
224,5,1793,3006
227,9,1789,2988
230,8,1755,3007
231,9,1772,3014
234,2,1743,3000
236,4,1757,3010
240,2,1732,3001
242,6,1727,3004
245,1,1710,2992
