nrh,ix,L,R
1,7,2053,1834
2,6,2048,1842
5,8,2047,1847
7,1,2041,1865
8,8,2055,1866
10,4,2039,1859
12,4,2034,1880
14,5,2049,1862
15,5,2061,1908
16,7,2040,1882
17,5,2060,1902
21,3,2020,1876
23,3,2033,1911
26,2,2056,1925
28,5,2067,1950
30,6,2050,1920
34,8,2051,1940
35,3,2071,1975
36,8,2061,1971
37,2,2087,1980
38,9,2067,1961
40,1,2059,1985
41,7,2065,1967
42,2,2056,1971
43,1,2066,1967
46,3,2021,1960
49,3,2072,1984
53,6,2098,2041
54,8,2026,1980
55,4,2027,1978
56,2,2058,2011
57,8,2045,1981
61,9,2058,2039
63,7,2056,2023
66,7,2084,2077
70,9,2048,2042
72,6,2053,2053
74,1,2051,2064
75,3,2028,2037
76,2,2046,2047
80,5,2043,2059
83,3,2052,2067
84,8,2045,2123
85,2,2040,2047
93,9,2042,2091
95,6,2042,2093
100,9,2049,2103
102,2,2050,2117
103,1,2022,2128
104,2,2050,2118
105,5,2000,2050
106,7,2028,2125
107,2,2005,2079
108,3,2049,2109
112,7,1998,2103
113,4,2009,2078
117,9,2049,2145
118,9,1998,2121
120,3,2020,2152
121,3,2011,2127
123,6,2003,2130
125,7,2053,2153
128,9,1977,2139
133,8,2003,2184
137,8,1998,2165
139,5,2003,2168
140,6,2006,2159
143,6,1965,2176
144,4,2001,2196
145,7,1993,2183
146,5,1989,2187
147,4,1979,2161
150,6,1991,2198
157,5,1978,2209
160,7,1976,2219
161,7,1959,2201
162,8,1946,2186
163,8,1974,2211
165,4,1963,2215
166,4,1951,2220
167,9,1975,2238
168,3,1946,2200
173,6,1953,2223
179,8,1935,2217
181,6,1927,2227
183,3,1913,2217
184,1,1923,2231
185,4,1944,2225
188,7,1928,2244
191,2,1913,2228
195,6,1909,2234
196,8,1916,2235
199,5,1894,2222
200,8,1885,2251
201,9,1888,2248
203,7,1883,2244
204,6,1882,2258
205,6,1886,2245
206,5,1887,2263
207,1,1878,2264
