nrh,ix,L,R
1,9,2041,1667
2,6,2045,1673
3,6,2044,1670
5,1,2060,1678
7,8,2079,1701
8,9,2055,1675
10,9,2067,1679
11,6,2067,1684
17,8,2114,1723
19,4,2092,1724
20,6,2101,1726
22,6,2137,1757
26,3,2124,1747
27,7,2135,1768
30,1,2126,1752
31,4,2111,1752
33,1,2134,1789
43,3,2153,1813
45,9,2167,1821
47,8,2140,1820
49,6,2194,1866
51,6,2152,1814
55,6,2189,1839
56,6,2167,1834
57,8,2198,1876
58,8,2179,1881
59,2,2177,1871
60,9,2183,1881
63,2,2177,1875
64,5,2185,1888
66,3,2211,1909
67,5,2174,1878
68,3,2195,1877
70,7,2179,1896
71,4,2177,1915
72,8,2179,1915
73,8,2181,1919
76,8,2181,1926
78,2,2190,1922
79,2,2180,1908
80,1,2184,1921
84,4,2172,1911
85,3,2205,1942
87,7,2212,1967
88,8,2197,1954
89,7,2182,1963
90,7,2185,1967
91,9,2198,1960
93,8,2182,1990
97,8,2209,2019
101,4,2209,2021
102,3,2172,2021
103,3,2162,1966
106,8,2207,2016
108,9,2213,2036
109,7,2179,2025
111,2,2174,2002
113,4,2182,2028
114,9,2173,2019
117,5,2170,2015
119,2,2169,2024
120,4,2186,2036
122,3,2189,2044
125,3,2202,2073
128,9,2164,2025
131,6,2159,2064
134,3,2181,2069
135,5,2163,2108
136,5,2181,2074
137,7,2146,2075
139,5,2181,2064
140,5,2163,2105
141,9,2168,2078
143,1,2173,2072
144,6,2153,2055
145,2,2175,2096
150,1,2158,2095
151,8,2149,2114
152,4,2152,2099
153,2,2139,2126
154,8,2145,2100
160,7,2133,2095
162,2,2125,2092
164,3,2089,2120
167,3,2118,2114
172,4,2085,2107
173,7,2088,2128
174,6,2101,2118
176,1,2107,2158
177,4,2076,2123
179,4,2056,2093
180,8,2085,2136
181,9,2074,2113
184,7,2053,2117
185,4,2064,2130
190,6,2072,2121
193,4,2062,2123
196,8,2030,2123
205,8,2032,2126
207,7,2019,2132
