nrh,ix,L,R
1,4,1868,1387
3,1,1899,1394
4,5,1895,1403
5,1,1909,1418
7,7,1894,1401
9,7,1935,1436
12,1,1999,1483
15,9,1937,1432
16,4,1982,1516
21,5,2046,1553
22,3,2066,1568
27,2,2083,1565
28,6,2110,1643
30,4,2130,1643
32,1,2090,1669
33,2,2126,1702
38,5,2136,1703
40,5,2167,1791
41,3,2153,1702
42,4,2203,1794
43,8,2196,1814
45,4,2213,1840
46,1,2164,1772
47,6,2195,1820
48,9,2197,1805
49,8,2196,1863
50,4,2198,1868
51,8,2222,1841
52,2,2229,1925
53,3,2221,1863
55,5,2212,1884
56,6,2220,1887
57,8,2233,1960
58,9,2237,1941
59,6,2165,1878
61,2,2175,1916
64,7,2219,1938
65,6,2206,1940
67,3,2277,2048
68,8,2251,1998
70,1,2244,1991
71,6,2214,1992
73,9,2231,2050
74,4,2233,2042
75,4,2272,2117
76,7,2239,2051
78,4,2241,2038
79,5,2255,2143
80,3,2208,2062
82,9,2267,2128
83,3,2224,2140
84,2,2241,2137
85,5,2242,2131
86,6,2223,2161
87,3,2227,2142
88,7,2248,2195
90,1,2265,2228
91,3,2254,2213
92,4,2227,2196
93,8,2216,2165
95,4,2246,2235
97,6,2172,2197
98,6,2226,2286
102,9,2239,2282
103,5,2294,2340
105,8,2243,2243
109,4,2232,2344
111,3,2224,2344
115,4,2245,2413
116,6,2249,2324
117,9,2212,2356
119,2,2191,2394
120,2,2223,2339
121,1,2243,2339
122,4,2197,2396
124,5,2218,2416
127,8,2203,2442
128,6,2191,2420
129,7,2203,2467
130,2,2175,2381
131,7,2201,2434
132,4,2208,2429
133,5,2217,2411
134,6,2163,2442
136,9,2185,2415
141,6,2182,2441
144,8,2164,2439
146,5,2162,2451
148,2,2159,2446
149,4,2172,2456
150,4,2161,2487
151,1,2083,2451
153,8,2109,2472
154,6,2114,2463
161,9,2073,2473
163,2,2084,2488
164,8,2087,2482
165,6,2042,2487
166,9,2057,2490
167,7,2041,2492
