nrh,ix,L,R
2,9,2012,1604
3,7,2002,1612
4,2,2013,1636
5,1,2007,1627
7,2,2000,1646
8,2,1998,1642
9,4,2025,1662
10,8,1996,1657
11,2,2016,1679
12,8,1998,1671
13,3,1995,1665
14,4,2000,1677
15,4,2008,1700
18,5,1997,1706
19,1,2027,1731
20,5,1980,1713
21,3,2034,1756
22,7,2032,1765
23,5,2048,1770
24,7,1991,1745
26,3,1983,1758
28,2,2041,1801
29,6,2015,1779
30,9,2034,1813
31,6,1989,1785
32,5,2029,1826
33,6,2009,1821
36,7,1989,1805
37,1,1992,1825
38,2,1997,1859
40,6,2003,1865
41,4,1994,1856
42,2,2009,1860
43,4,1947,1829
44,4,2023,1887
45,2,2016,1895
46,6,1991,1870
47,8,1965,1887
48,1,1999,1905
49,2,1970,1885
50,9,1984,1921
51,3,2010,1919
54,4,2010,1954
55,7,1964,1908
56,1,1992,1970
58,1,1974,1926
61,8,1912,1918
63,6,1919,1924
64,2,1950,1984
65,7,1936,1959
69,8,1922,1976
70,4,1957,2030
71,2,1961,2036
72,6,1965,2033
73,6,1968,2047
74,3,1888,1972
75,8,1933,2016
76,7,1935,1995
79,9,1959,2066
80,2,1869,2001
81,6,1893,2033
82,8,1903,2038
83,6,1865,1991
84,2,1873,1994
86,8,1883,2055
88,4,1875,2058
89,7,1857,2054
90,3,1868,2072
92,3,1826,2072
93,1,1854,2097
94,4,1839,2089
95,8,1813,2058
97,2,1841,2104
98,9,1812,2098
99,6,1836,2116
100,8,1825,2126
104,7,1742,2084
106,6,1788,2139
108,3,1774,2137
109,8,1770,2177
110,6,1767,2148
111,6,1737,2121
112,9,1726,2161
113,4,1748,2161
114,9,1696,2152
115,9,1742,2178
116,3,1747,2186
117,3,1712,2182
118,3,1693,2132
119,5,1720,2169
120,6,1705,2179
122,2,1684,2176
124,5,1644,2172
126,5,1679,2187
127,7,1671,2197
129,4,1644,2177
130,9,1635,2180
131,4,1626,2199
133,7,1618,2188
134,7,1604,2199
