nrh,ix,L,R
2,6,2818,1555
3,1,2824,1569
5,8,2830,1583
8,7,2834,1599
12,2,2834,1611
15,9,2837,1650
17,4,2831,1677
20,3,2835,1719
22,4,2828,1688
26,8,2842,1720
28,1,2835,1709
31,2,2839,1749
32,4,2836,1752
38,7,2832,1815
41,6,2816,1804
42,4,2832,1843
43,5,2826,1858
44,6,2806,1854
45,9,2824,1841
46,3,2800,1826
47,2,2811,1857
49,5,2800,1855
50,7,2815,1842
51,3,2816,1879
55,8,2786,1900
56,7,2803,1904
57,2,2811,1922
58,5,2798,1962
60,7,2802,1956
64,5,2792,1948
66,4,2789,1982
68,9,2752,1960
69,3,2752,1985
70,1,2767,1994
71,3,2794,1980
72,2,2756,2003
73,5,2751,2017
76,1,2717,2038
77,5,2748,2022
81,5,2710,2073
82,9,2715,2053
83,2,2694,2075
84,7,2684,2105
90,7,2681,2115
91,1,2700,2106
104,4,2626,2175
105,6,2613,2207
113,8,2581,2207
114,8,2587,2256
118,8,2558,2245
119,2,2554,2218
125,8,2537,2248
127,7,2542,2260
130,6,2486,2303
131,1,2486,2288
132,4,2473,2332
136,4,2456,2316
137,5,2532,2316
139,7,2441,2333
140,2,2438,2330
141,6,2469,2359
142,1,2430,2303
146,1,2400,2341
147,4,2371,2318
149,2,2368,2304
150,8,2332,2370
151,5,2311,2368
159,5,2302,2389
165,8,2309,2385
166,9,2279,2395
168,9,2276,2429
170,1,2197,2404
172,5,2190,2406
181,1,2110,2444
183,1,2079,2402
185,6,2100,2451
186,5,2079,2460
188,2,2073,2446
191,5,2010,2409
192,3,1993,2456
193,4,2046,2462
195,2,1982,2451
196,5,2005,2460
199,3,1942,2438
200,3,1948,2437
207,7,1913,2450
211,6,1874,2452
212,8,1831,2443
214,7,1831,2447
215,1,1824,2464
216,7,1806,2470
220,6,1770,2446
221,8,1798,2465
222,4,1731,2449
223,5,1731,2445
224,3,1740,2454
226,4,1698,2450
227,7,1675,2439
229,9,1677,2441
231,1,1644,2434
