nrh,ix,L,R
1,7,3701,1850
4,7,3719,1891
5,1,3695,1895
6,2,3719,1904
11,2,3708,1985
12,3,3712,1960
13,4,3719,2030
15,3,3731,2042
16,5,3723,2049
18,8,3727,2047
23,9,3714,2081
25,7,3707,2096
27,4,3712,2141
28,8,3674,2121
30,2,3696,2123
33,6,3699,2166
38,3,3702,2168
39,1,3700,2220
42,7,3689,2252
44,2,3694,2271
49,5,3677,2303
50,6,3690,2366
51,1,3675,2301
52,3,3664,2296
54,6,3676,2332
55,5,3697,2364
57,4,3645,2399
59,9,3636,2422
62,6,3633,2450
64,8,3637,2451
65,3,3637,2411
67,4,3609,2499
73,1,3577,2536
74,8,3566,2602
77,2,3535,2553
78,5,3517,2523
82,5,3562,2595
85,4,3542,2674
87,2,3507,2693
88,7,3487,2626
89,8,3494,2646
90,2,3478,2648
91,5,3492,2652
93,6,3468,2704
95,3,3448,2674
96,4,3494,2713
98,4,3448,2692
101,5,3433,2759
105,7,3351,2745
106,3,3386,2791
107,6,3335,2767
109,4,3375,2797
110,6,3335,2739
111,3,3297,2815
113,9,3312,2837
114,4,3224,2828
119,7,3247,2810
120,5,3207,2804
121,9,3221,2841
122,1,3169,2838
123,7,3201,2897
125,7,3217,2891
129,8,3104,2861
131,4,2995,2868
132,7,3159,2884
133,8,3114,2914
134,2,3038,2925
139,4,2969,2964
142,2,2901,2914
143,3,2939,2909
146,8,2738,2887
148,3,2795,2977
149,1,2773,2941
150,6,2776,3008
151,4,2721,2910
154,3,2659,2994
157,2,2672,3040
158,4,2587,2944
160,2,2651,2988
161,8,2550,3035
164,9,2557,2995
169,7,2414,3023
171,2,2340,2935
174,9,2283,2994
176,4,2289,2992
178,9,2178,2941
180,4,2262,3029
181,2,2205,3000
184,9,2094,2970
187,5,1983,2951
188,2,1988,2924
189,1,1924,2910
190,3,1945,2949
192,1,1944,2975
193,5,1902,2934
194,8,1845,2955
196,6,1860,2923
197,2,1805,2932
198,3,1704,2908
199,2,1737,2918
