nrh,ix,L,R
1,4,3067,1322
2,7,3064,1356
3,1,3046,1344
4,1,3071,1386
6,9,3076,1404
8,3,3075,1408
9,9,3090,1430
12,2,3104,1473
13,8,3076,1443
15,6,3102,1474
16,4,3112,1462
20,3,3105,1538
21,6,3110,1552
22,6,3115,1560
23,4,3180,1580
24,4,3130,1600
25,6,3099,1586
26,5,3133,1627
27,4,3152,1622
28,7,3128,1624
29,2,3159,1666
32,1,3094,1671
33,4,3167,1709
36,6,3078,1691
37,1,3104,1712
38,5,3187,1787
39,8,3162,1779
40,8,3163,1790
42,3,3116,1784
45,4,3136,1840
46,8,3120,1822
48,8,3218,1899
49,3,3137,1917
50,5,3149,1892
51,6,3123,1908
52,8,3087,1872
54,2,3126,1907
55,1,3109,1930
56,6,3114,1998
57,3,3078,1966
59,4,3157,1961
60,7,3156,2015
62,1,3138,2069
66,6,3087,2065
67,1,3110,2087
68,1,3078,2099
69,6,3077,2141
70,3,3093,2123
71,8,3028,2109
72,5,3035,2087
73,2,2993,2154
74,3,3039,2146
77,4,3031,2154
79,7,2982,2161
81,6,2999,2265
83,5,3014,2210
85,1,3008,2275
86,9,2901,2205
88,2,2937,2266
89,4,2907,2250
91,4,2876,2268
92,8,2844,2292
93,6,2906,2336
94,7,2892,2336
95,9,2829,2364
96,5,2905,2312
97,3,2822,2330
99,7,2847,2316
100,4,2915,2421
101,7,2804,2386
102,2,2818,2324
103,5,2842,2413
104,5,2822,2401
105,3,2735,2356
106,8,2786,2397
107,1,2816,2421
108,7,2860,2438
110,8,2744,2430
111,3,2769,2406
112,6,2669,2444
113,7,2593,2435
114,7,2753,2463
115,7,2666,2485
116,7,2648,2466
118,3,2629,2485
120,3,2634,2497
122,4,2608,2507
123,5,2589,2502
124,4,2596,2502
127,5,2572,2546
128,7,2488,2529
129,7,2489,2520
132,9,2468,2530
133,5,2441,2547
135,9,2440,2553
136,3,2417,2547
137,8,2366,2540
138,6,2349,2563
140,6,2339,2563
141,3,2325,2574
