nrh,ix,L,R
1,3,3005,838
2,5,2988,872
3,8,2992,857
5,7,2942,845
6,9,2953,867
7,8,2969,888
8,1,2934,859
10,9,2949,894
12,2,2937,913
14,7,2941,923
15,4,2925,958
17,1,2907,927
19,4,2971,1025
23,5,2882,932
25,4,2839,939
26,2,2799,980
27,2,2910,1080
28,9,2836,1112
31,5,2862,1149
32,5,2793,1009
33,9,2850,1087
34,1,2790,1012
35,3,2777,1017
36,5,2799,1101
39,9,2770,1117
40,8,2768,1165
42,2,2732,1104
44,9,2698,1069
46,9,2739,1207
48,8,2645,1129
50,4,2728,1249
52,8,2705,1252
53,9,2709,1335
55,9,2610,1218
56,5,2654,1210
57,1,2567,1219
58,1,2601,1296
63,5,2521,1275
65,5,2543,1398
69,9,2569,1419
70,7,2544,1369
71,5,2511,1465
72,7,2411,1427
73,5,2485,1389
75,7,2319,1371
80,2,2383,1438
83,6,2282,1463
84,2,2336,1526
88,1,2208,1544
89,5,2243,1603
97,4,2052,1630
100,2,2009,1529
101,2,2043,1697
102,6,2029,1570
104,5,1926,1673
105,1,1942,1700
106,3,1937,1752
107,8,1976,1748
108,7,1862,1717
110,7,1836,1672
112,7,1809,1613
113,2,1833,1733
115,3,1712,1704
117,6,1721,1780
119,4,1645,1716
120,5,1633,1710
122,8,1631,1750
123,5,1558,1737
125,4,1590,1814
126,8,1485,1840
127,1,1559,1721
128,6,1534,1789
134,4,1380,1830
136,1,1354,1820
137,2,1365,1762
138,5,1322,1808
142,6,1275,1823
143,3,1258,1809
145,4,1214,1816
146,6,1233,1763
147,1,1206,1840
148,7,1175,1845
149,6,1104,1853
150,8,1205,1805
151,6,1084,1948
153,6,1038,1845
154,8,1044,1858
155,3,1021,1855
159,6,997,1891
160,2,948,1878
162,6,909,1876
163,4,902,1909
164,1,873,1910
165,2,869,1847
166,1,874,1853
167,2,850,1855
168,7,803,1892
169,4,840,1854
171,7,797,1889
172,5,785,1852
