nrh,ix,L,R
2,8,2554,617
9,6,2547,698
10,4,2529,741
12,2,2539,714
13,8,2528,715
14,5,2541,772
15,9,2533,770
16,5,2535,790
19,1,2514,789
21,8,2499,809
22,1,2495,861
24,3,2486,868
27,6,2423,860
28,8,2468,918
34,6,2439,955
38,6,2430,996
40,2,2395,1009
41,3,2364,1065
46,5,2287,1117
49,2,2305,1162
51,2,2313,1116
52,6,2269,1164
54,6,2271,1211
56,2,2330,1250
58,7,2217,1227
61,2,2223,1205
65,2,2202,1316
66,6,2271,1371
67,3,2164,1221
69,9,2174,1320
70,7,2163,1364
71,7,2154,1394
73,2,2150,1368
76,5,2117,1328
82,8,2056,1472
84,5,2014,1454
85,6,2042,1458
86,6,2008,1486
87,2,1982,1427
88,4,2019,1439
91,6,1969,1551
92,4,1988,1502
93,8,1988,1510
95,3,1934,1510
98,6,1901,1527
99,3,1918,1547
106,9,1826,1542
107,4,1814,1602
109,2,1871,1601
110,2,1806,1577
111,7,1763,1570
112,3,1753,1539
115,3,1739,1611
120,7,1689,1673
121,6,1655,1706
122,7,1641,1628
123,9,1630,1660
124,4,1603,1735
129,8,1567,1627
131,7,1590,1735
133,7,1505,1766
137,4,1486,1746
142,7,1381,1719
147,2,1406,1833
148,2,1359,1820
150,3,1277,1759
154,8,1260,1783
156,2,1308,1773
157,7,1199,1839
162,5,1256,1843
163,8,1196,1870
164,5,1157,1836
166,2,1211,1830
167,6,1133,1842
172,5,1119,1910
173,3,1052,1847
179,7,1088,1805
182,2,1036,1900
184,2,1001,1918
187,1,1057,1841
190,3,1025,1878
191,3,980,1920
193,6,958,1863
195,9,931,1863
200,9,901,1890
201,5,881,1936
202,3,884,1891
206,6,826,1933
207,5,875,1900
209,4,827,1946
219,7,773,1912
223,4,737,1904
224,5,715,1914
226,5,694,1912
230,8,694,1914
235,2,636,1903
237,6,631,1912
238,7,631,1908
240,1,618,1911
241,3,604,1902
