nrh,ix,L,R
1,5,1335,475
4,1,1323,482
11,6,1315,495
16,8,1313,501
19,7,1233,488
21,5,1218,502
24,8,1207,497
31,6,1216,496
32,1,1221,518
41,8,1131,533
42,3,1183,525
43,5,1149,535
45,4,1119,516
47,9,1136,529
59,9,1088,526
61,2,1060,522
64,6,1069,537
65,6,1044,528
67,5,1089,549
68,5,1071,559
75,3,964,529
76,1,998,568
77,4,951,526
82,2,960,585
84,6,959,598
85,6,985,598
86,4,980,574
90,4,917,584
91,4,959,600
93,9,958,615
95,2,948,609
97,3,970,633
99,9,931,606
101,4,940,610
102,6,939,627
104,3,931,647
105,1,967,654
110,5,808,620
111,3,863,651
112,2,809,675
113,9,874,664
114,1,830,682
118,9,847,661
119,6,918,687
123,1,772,646
125,5,829,648
126,7,826,691
128,7,776,718
129,6,701,708
132,3,660,694
133,6,709,783
136,1,683,697
138,3,723,784
140,2,642,716
144,4,662,760
146,2,675,697
149,3,629,714
151,6,668,803
153,9,622,817
155,5,631,761
157,2,648,894
159,4,622,804
160,7,648,820
164,9,603,905
165,1,616,898
172,3,589,913
174,9,582,915
179,2,569,972
180,4,591,971
186,2,550,962
189,8,570,973
191,9,547,947
198,4,586,1058
199,3,578,1039
200,5,565,1012
201,1,556,1029
202,1,575,1063
203,6,585,1035
205,9,526,1019
207,9,557,1057
211,3,595,1130
214,3,577,1143
215,7,580,1090
216,6,576,1129
218,1,599,1209
219,1,614,1174
221,9,574,1148
222,3,563,1131
233,5,593,1219
234,6,549,1161
236,4,569,1235
237,4,583,1223
244,6,588,1260
246,2,614,1312
250,8,610,1335
252,6,596,1344
255,2,596,1316
258,6,605,1371
261,9,606,1369
263,5,605,1391
