nrh,ix,L,R
3,8,3169,1244
4,2,3150,1227
5,6,3137,1245
7,9,3133,1270
8,4,3179,1289
10,3,3132,1256
11,5,3117,1239
12,3,3103,1234
14,6,3116,1265
17,1,3124,1267
18,7,3114,1249
19,9,3059,1233
20,5,3054,1236
21,8,3084,1280
22,2,3097,1315
23,2,3134,1275
24,3,3060,1272
25,3,3125,1283
26,9,3021,1278
27,3,3038,1312
28,5,2990,1307
29,4,3097,1313
30,5,3072,1252
31,1,2916,1270
33,5,3004,1313
36,9,2974,1282
37,2,2921,1307
39,7,2988,1313
40,4,2927,1274
41,2,2819,1245
44,2,2772,1282
45,9,2859,1344
48,4,2879,1344
50,8,2791,1363
51,5,2858,1312
52,6,2834,1373
53,8,2704,1324
55,6,2537,1405
56,1,2629,1377
57,1,2612,1308
59,9,2529,1254
61,7,2491,1280
63,9,2518,1372
64,2,2364,1265
65,5,2588,1321
66,7,2482,1369
68,1,2403,1349
69,3,2430,1393
70,5,2418,1316
74,6,2397,1424
75,2,2271,1307
76,3,2328,1361
77,6,2289,1353
82,4,2116,1327
84,2,2103,1338
85,5,2053,1325
88,2,2015,1374
90,1,2013,1278
91,3,2030,1356
93,6,1905,1363
94,3,1999,1331
95,8,1917,1316
96,8,1913,1361
99,3,1766,1290
100,7,1801,1372
103,1,1635,1236
104,3,1698,1337
105,5,1603,1293
106,9,1650,1328
107,6,1542,1283
112,6,1575,1331
113,9,1437,1268
114,1,1483,1322
115,4,1590,1354
116,3,1291,1258
117,8,1359,1291
118,1,1516,1357
119,2,1241,1220
121,7,1322,1269
122,9,1276,1267
123,8,1259,1218
126,5,1204,1233
128,4,1230,1299
130,7,1081,1238
132,5,909,1137
134,6,923,1153
135,7,963,1181
136,5,858,1163
138,9,841,1166
139,2,802,1111
141,1,757,1119
142,5,758,1138
143,5,797,1124
144,3,732,1095
145,8,743,1121
147,6,749,1121
149,9,705,1101
150,9,662,1061
151,7,652,1054
152,1,656,1072
