nrh,ix,L,R
2,7,2631,1706
3,8,2635,1715
4,9,2653,1716
5,1,2678,1747
6,9,2695,1742
7,6,2671,1746
8,4,2668,1741
9,2,2694,1743
11,3,2763,1796
12,7,2778,1823
13,8,2721,1815
14,8,2780,1849
15,8,2730,1825
16,3,2706,1849
17,5,2773,1878
19,4,2784,1913
20,9,2728,1882
22,7,2802,1910
23,6,2793,1929
24,2,2811,1929
25,7,2819,1925
27,1,2750,1929
28,6,2814,1970
30,6,2830,2006
32,7,2783,1955
33,9,2821,2031
35,2,2802,2038
37,2,2841,2043
40,5,2821,2081
41,5,2847,2134
43,4,2853,2072
46,1,2869,2103
49,5,2927,2188
50,4,2939,2166
51,7,2850,2165
52,1,2909,2173
53,5,2833,2175
54,2,2891,2186
55,9,2920,2231
57,1,2940,2218
58,7,2963,2282
59,3,2877,2165
60,8,2900,2230
61,2,2974,2232
62,8,2937,2276
63,3,2962,2295
66,7,2925,2214
67,9,2921,2269
69,1,2932,2285
70,3,2947,2330
71,3,2948,2333
72,8,2902,2273
74,6,2778,2247
75,7,2976,2376
77,8,2957,2434
78,7,2841,2332
81,2,2909,2401
82,9,2900,2390
83,4,2905,2377
84,2,2884,2397
85,1,2799,2390
86,6,2892,2426
87,2,2897,2489
89,5,2902,2495
93,3,2815,2452
96,1,2878,2570
98,1,2759,2445
99,4,2778,2573
100,2,2808,2557
101,7,2840,2590
103,7,2736,2552
108,7,2721,2560
111,6,2675,2585
112,3,2714,2575
113,1,2682,2624
114,7,2629,2528
115,6,2645,2623
118,4,2631,2683
119,3,2621,2653
120,6,2560,2615
122,4,2567,2603
124,7,2614,2675
125,3,2527,2612
126,1,2510,2643
128,7,2479,2653
130,3,2476,2656
131,8,2452,2658
132,8,2455,2631
135,5,2388,2650
136,3,2400,2669
137,3,2331,2679
138,2,2354,2688
139,6,2332,2690
141,9,2326,2699
142,9,2311,2682
145,1,2293,2700
147,6,2250,2690
149,6,2234,2698
150,6,2232,2694
151,7,2220,2694
