nrh,ix,L,R
2,4,1097,359
3,5,1091,365
4,5,1074,370
5,5,1114,397
6,1,1046,364
7,5,1167,426
8,4,1096,401
9,7,1092,399
10,1,1210,443
11,3,1097,404
12,5,1074,385
14,6,1132,431
16,2,1172,441
17,5,1136,448
18,8,1129,449
21,8,1127,456
24,9,1250,489
25,4,1125,460
28,5,1243,519
29,3,1277,514
31,1,1053,465
33,6,1193,433
34,4,1004,417
36,6,1079,483
37,6,924,475
38,8,1184,520
39,5,1068,450
40,3,955,440
41,6,1218,563
42,3,1132,516
43,5,1101,504
44,7,1151,538
45,5,1144,544
46,6,1107,500
47,3,1133,502
48,8,1054,516
49,3,1161,549
52,1,1215,589
55,7,1187,565
56,9,870,520
57,3,1013,527
58,9,1173,585
59,9,1132,537
60,4,997,498
61,6,1012,550
62,9,1092,549
64,4,1004,541
65,8,1076,503
66,6,1011,593
68,1,983,580
69,7,1048,604
70,7,841,547
71,8,942,552
72,4,859,573
73,4,1042,579
74,4,940,556
75,3,1036,599
76,1,920,599
77,9,882,593
79,4,1007,628
80,4,916,530
81,4,787,479
82,1,1050,602
83,8,945,612
84,1,943,577
86,9,866,548
87,3,951,554
88,5,867,578
89,2,905,633
93,8,757,571
94,7,899,619
95,7,914,555
98,4,643,623
100,1,725,624
103,3,785,624
104,4,689,660
105,3,689,600
106,4,786,598
107,1,773,571
108,6,744,638
109,2,643,576
110,1,724,586
111,9,686,597
113,2,625,580
114,5,739,644
115,9,611,614
116,7,633,599
117,5,618,599
119,3,637,629
120,8,707,641
121,2,598,616
122,9,589,615
123,9,573,607
125,9,654,638
127,8,584,653
128,8,576,626
129,6,547,608
132,5,436,608
133,7,479,617
134,4,445,601
