nrh,ix,L,R
5,9,2151,1830
6,6,2155,1828
12,3,2145,1851
14,5,2166,1870
17,9,2147,1879
19,2,2134,1871
26,8,2123,1903
28,4,2123,1918
34,5,2104,1927
36,1,2087,1924
41,7,2090,1947
42,3,2088,1958
44,6,2074,1962
49,9,2048,1953
53,4,2078,1998
55,9,2040,1987
56,4,2033,1986
59,1,2013,2000
62,5,2031,2024
63,7,2011,2016
64,6,1991,2039
73,3,1981,2045
74,9,1974,2035
76,9,1995,2057
79,4,1966,2041
80,5,1961,2080
82,5,1981,2066
83,1,1952,2072
87,5,1946,2093
90,7,1903,2067
93,1,1900,2063
100,1,1870,2083
102,8,1899,2088
104,6,1893,2086
105,7,1844,2075
106,8,1856,2043
109,3,1862,2091
115,5,1855,2113
120,8,1818,2107
121,2,1815,2103
123,4,1816,2095
124,3,1835,2118
126,3,1771,2141
131,1,1771,2114
139,1,1756,2119
142,1,1737,2119
144,1,1743,2135
145,2,1745,2155
150,5,1732,2111
151,3,1706,2124
156,3,1705,2122
161,4,1665,2111
162,6,1697,2139
163,8,1681,2149
164,3,1712,2152
165,8,1688,2143
167,5,1685,2156
168,1,1642,2116
170,2,1634,2094
172,5,1651,2137
173,9,1630,2110
177,9,1596,2117
178,4,1588,2123
183,3,1615,2161
185,6,1634,2176
186,3,1592,2120
190,9,1571,2144
194,7,1553,2140
195,3,1571,2168
197,1,1532,2145
208,6,1459,2148
209,5,1521,2169
211,7,1502,2140
215,5,1471,2144
216,2,1470,2150
218,4,1463,2141
222,9,1469,2153
226,1,1443,2143
227,5,1442,2144
229,8,1418,2139
231,7,1447,2153
232,1,1428,2153
235,9,1406,2151
236,4,1414,2156
237,5,1370,2124
240,4,1397,2143
243,7,1349,2125
247,9,1355,2138
250,9,1336,2143
251,8,1350,2143
253,7,1304,2134
257,6,1314,2134
262,2,1281,2110
269,5,1257,2130
272,8,1264,2122
275,8,1244,2124
278,4,1234,2115
282,4,1224,2115
289,4,1197,2115
290,8,1198,2116
