nrh,ix,L,R
1,4,1177,496
2,6,1176,500
3,4,1189,512
4,5,1178,517
5,1,1143,513
6,5,1173,518
7,8,1134,507
9,8,1112,529
10,8,1120,537
11,1,1156,564
12,7,1068,550
14,7,1095,573
15,1,1055,538
17,6,1110,576
18,4,1032,596
20,1,1109,622
21,5,1011,572
22,7,1044,593
23,8,995,577
24,5,997,587
25,2,1037,619
26,3,1074,649
27,9,1069,652
28,1,995,647
29,5,1006,655
30,3,980,664
31,3,984,617
32,9,967,671
33,8,966,669
34,8,1026,662
35,5,937,674
38,9,933,668
39,7,921,683
40,5,963,717
41,7,913,695
43,4,983,742
44,6,790,684
45,7,852,732
46,2,926,726
49,7,857,755
50,7,835,730
51,8,874,741
52,3,853,744
53,5,823,728
54,6,779,762
55,1,790,720
56,4,828,751
57,2,830,780
58,5,829,824
59,2,761,756
60,7,748,762
62,9,801,808
63,1,772,797
64,2,750,803
65,9,774,864
66,9,738,782
67,1,757,799
68,4,768,848
69,3,750,849
70,4,770,873
73,3,719,842
74,8,636,814
75,7,654,811
76,9,703,839
77,9,677,823
79,6,605,828
83,2,617,858
85,1,634,861
86,3,589,861
87,4,577,878
89,1,567,856
91,2,559,876
92,9,565,888
94,7,562,872
95,2,543,862
96,2,566,888
98,3,493,892
99,7,548,913
100,2,531,894
101,5,511,883
102,2,495,893
103,2,499,893
104,9,504,903
105,3,514,914
106,1,498,903
107,3,503,921
108,1,482,903
109,7,465,896
110,9,475,899
111,6,464,903
112,4,449,919
113,4,455,906
116,3,432,916
117,6,425,904
118,4,436,913
119,5,405,913
120,3,421,916
122,3,412,915
124,4,411,926
125,9,412,919
