nrh,ix,L,R
2,1,1762,1966
3,6,1763,1956
4,1,1774,1970
5,5,1804,1993
6,6,1782,2010
7,2,1804,2007
8,7,1764,2000
9,1,1768,2035
10,4,1794,2053
11,6,1785,2066
12,7,1783,2058
14,1,1784,2045
16,3,1758,2044
17,2,1757,2047
18,1,1799,2071
19,6,1779,2096
20,6,1809,2102
22,7,1751,2068
23,6,1843,2093
24,9,1760,2074
26,5,1788,2124
27,2,1796,2110
28,8,1788,2072
29,9,1785,2138
31,2,1818,2151
32,7,1757,2153
33,4,1810,2130
34,7,1778,2182
35,2,1780,2186
36,2,1798,2166
37,2,1824,2171
38,6,1810,2234
39,6,1747,2210
40,2,1786,2161
41,5,1754,2229
43,8,1770,2233
44,4,1762,2222
45,2,1712,2196
46,8,1743,2203
47,6,1786,2215
49,6,1801,2264
50,7,1750,2232
51,7,1761,2217
52,9,1716,2212
53,4,1760,2239
54,3,1814,2273
55,6,1712,2204
56,6,1723,2232
57,2,1843,2301
58,8,1727,2232
60,4,1732,2214
61,1,1785,2281
62,6,1701,2265
63,2,1715,2246
64,9,1767,2293
65,9,1686,2237
66,4,1753,2260
70,4,1666,2272
72,5,1667,2300
73,5,1725,2311
74,1,1756,2266
75,1,1741,2311
76,2,1662,2270
77,2,1756,2371
78,4,1661,2282
79,4,1671,2314
80,4,1623,2300
81,7,1698,2340
82,6,1725,2339
83,9,1691,2327
84,4,1662,2334
85,9,1615,2335
86,7,1678,2349
87,1,1605,2313
88,1,1648,2317
89,6,1662,2351
90,9,1586,2268
91,7,1674,2328
92,1,1645,2317
93,5,1635,2306
94,9,1649,2338
96,9,1584,2317
97,3,1653,2319
98,5,1549,2273
99,6,1588,2295
100,4,1561,2296
101,4,1579,2321
102,8,1600,2314
106,6,1581,2278
107,9,1572,2288
109,9,1510,2277
110,5,1546,2294
111,7,1523,2277
112,8,1536,2270
113,6,1494,2272
114,4,1530,2273
115,5,1534,2295
118,1,1496,2273
119,9,1493,2254
121,7,1473,2243
