nrh,ix,L,R
1,8,460,459
2,3,460,465
5,9,462,487
6,4,463,483
8,6,467,487
9,9,466,496
10,7,482,514
12,7,470,523
13,3,480,543
16,1,468,535
17,9,471,574
18,8,483,575
20,7,486,588
21,4,465,606
23,6,476,622
24,3,482,626
25,2,470,647
27,6,478,656
32,6,475,686
35,6,464,725
36,5,479,740
38,8,476,728
39,4,475,724
40,1,475,738
41,7,486,796
45,4,474,805
46,7,484,770
48,7,476,856
49,4,479,873
51,8,480,855
52,7,483,827
56,8,475,957
57,3,496,907
59,9,470,949
60,8,477,910
61,1,484,950
62,9,464,920
63,6,477,971
64,2,478,952
66,8,490,1028
67,6,492,1054
68,9,480,1024
72,2,489,1056
74,5,473,1059
77,3,495,1195
78,7,477,1084
80,7,484,1123
81,6,466,1090
82,4,497,1196
83,1,475,1185
85,2,476,1149
86,8,490,1174
87,7,474,1125
89,7,481,1209
90,2,484,1208
91,1,476,1135
92,4,472,1209
94,1,460,1217
95,8,466,1230
97,4,484,1272
99,1,466,1260
100,2,457,1258
103,9,432,1299
104,9,458,1287
106,7,455,1287
107,1,451,1307
108,7,440,1312
109,3,445,1292
110,3,423,1304
111,6,422,1232
112,8,428,1295
113,3,407,1344
114,3,413,1285
115,8,428,1330
116,6,421,1330
120,8,430,1375
121,4,412,1372
122,2,428,1374
123,5,424,1350
124,2,389,1281
125,1,401,1348
126,1,445,1398
127,2,413,1371
130,6,414,1366
131,2,404,1353
132,5,439,1385
136,4,419,1411
137,9,402,1338
138,6,407,1373
139,8,419,1342
140,8,420,1373
142,7,386,1355
143,6,414,1386
145,8,398,1388
146,6,394,1363
147,6,399,1364
148,1,395,1391
149,3,385,1362
151,2,385,1393
152,3,380,1375
