nrh,ix,L,R
1,2,1174,925
2,1,1212,963
3,1,1187,931
4,6,1215,975
5,1,1189,950
6,4,1212,994
7,4,1195,958
9,1,1149,903
11,5,1186,965
14,9,1193,998
16,3,1233,1038
17,3,1189,992
18,7,1094,886
19,8,1216,1029
21,4,1176,1002
22,9,1168,971
25,8,1251,1112
28,1,1160,1005
29,9,1165,991
30,4,1093,921
32,2,1259,1150
33,1,1287,1122
34,9,1117,999
36,7,1248,1110
37,1,1209,1063
38,8,1118,1011
39,3,1314,1263
40,2,1231,1097
42,8,1232,1120
43,1,1226,1132
48,8,1186,1095
49,9,1284,1243
51,9,1155,1061
52,1,1233,1191
53,5,1099,1018
54,2,1234,1192
56,6,1169,1104
57,9,1177,1215
58,2,1251,1231
59,2,1150,1156
61,8,1138,1099
64,1,1231,1263
65,7,1101,1128
66,9,1219,1225
68,1,1128,1097
69,2,1131,1138
70,9,1193,1225
72,3,1232,1274
73,9,1193,1210
75,8,1089,1092
76,6,1259,1316
77,7,1123,1164
79,8,1146,1184
81,6,1031,1135
84,7,1266,1341
85,2,1107,1170
86,9,1100,1146
87,3,1078,1160
88,9,1172,1288
90,5,1143,1250
91,3,1009,1156
92,5,995,1085
94,8,987,1129
98,2,1066,1196
99,1,967,1121
100,3,864,989
101,9,990,1142
103,4,976,1154
104,8,1028,1152
105,4,973,1160
107,7,978,1140
109,1,1017,1193
110,1,860,1033
111,2,925,1117
112,4,902,1070
114,5,829,985
115,4,926,1094
116,9,858,1043
117,9,1015,1198
118,1,916,1094
119,2,849,1020
121,2,841,1028
122,4,775,985
123,5,823,1056
124,1,836,1085
125,1,859,1080
126,4,815,1026
127,3,889,1110
131,3,770,1019
132,4,745,1005
133,7,760,1016
134,7,749,1012
135,6,714,976
141,3,648,918
142,9,667,930
144,4,661,932
145,7,671,954
146,5,673,950
147,4,631,917
148,3,632,919
