nrh,ix,L,R
2,7,2026,2078
3,2,2025,2090
5,6,2013,2075
8,1,2053,2121
14,8,2084,2176
15,8,2092,2192
17,8,2042,2162
20,4,2090,2221
22,2,2136,2321
24,9,2063,2215
25,9,2121,2250
28,6,2113,2225
29,6,2127,2310
30,8,2118,2296
33,8,2254,2404
34,7,2210,2392
35,3,2152,2320
36,3,2201,2364
44,6,2185,2447
46,4,2150,2438
47,1,2196,2447
48,5,2171,2384
49,6,2264,2493
51,5,2248,2497
55,1,2395,2616
57,9,2164,2473
58,6,2264,2557
65,6,2407,2672
66,6,2282,2609
68,2,2370,2718
69,5,2293,2666
71,7,2358,2677
74,1,2323,2613
75,8,2337,2698
76,5,2293,2654
78,7,2382,2713
79,4,2398,2755
80,3,2338,2719
81,7,2358,2687
83,7,2370,2778
84,9,2313,2740
86,2,2291,2647
87,4,2373,2823
88,5,2214,2663
89,6,2297,2745
90,1,2413,2793
92,3,2314,2698
94,7,2370,2783
95,5,2360,2768
98,6,2435,2866
103,3,2392,2858
105,8,2360,2814
107,2,2396,2801
111,1,2330,2790
114,1,2444,2873
117,6,2364,2925
118,3,2390,2930
119,8,2316,2784
125,4,2307,2859
127,2,2339,2923
131,6,2387,2956
133,2,2342,2886
134,8,2312,2824
135,6,2419,2951
136,5,2407,2994
137,2,2359,2888
140,3,2409,2965
142,9,2404,2983
145,3,2374,2946
147,7,2278,2897
148,7,2264,2870
149,6,2287,2885
151,6,2326,2954
153,6,2316,2906
158,7,2249,2894
159,6,2303,2955
161,6,2253,2900
164,2,2258,2918
165,7,2302,2980
167,5,2318,2946
170,8,2203,2856
171,3,2373,3019
172,3,2358,3001
173,3,2297,2956
174,1,2297,2968
175,5,2274,2940
179,8,2276,2948
183,5,2290,2948
186,6,2258,2901
188,5,2258,2977
190,1,2264,2947
191,4,2240,2933
194,7,2260,2973
197,9,2223,2908
200,8,2236,2953
201,5,2246,2938
202,2,2246,2966
203,4,2219,2947
205,9,2232,2944
210,8,2187,2907
