nrh,ix,L,R
1,7,1784,1608
2,6,1784,1618
3,5,1791,1621
4,3,1814,1651
5,5,1790,1632
6,5,1829,1646
7,5,1786,1656
8,3,1826,1665
9,9,1800,1657
10,3,1809,1671
11,4,1826,1697
12,9,1832,1634
13,6,1827,1651
14,5,1816,1639
15,5,1794,1636
16,4,1851,1669
17,5,1845,1661
18,7,1872,1746
19,3,1844,1682
20,5,1850,1688
21,2,1832,1660
22,3,1838,1700
23,8,1891,1720
24,1,1823,1682
25,7,1827,1651
26,9,1870,1728
27,6,1871,1753
28,3,1831,1751
29,8,1870,1718
30,8,1834,1765
31,6,1868,1703
32,9,1817,1680
33,9,1820,1675
34,7,1876,1729
35,1,1813,1715
36,7,1884,1722
37,9,1860,1696
38,7,1939,1697
39,9,1905,1795
40,7,1884,1703
41,6,1831,1739
42,6,1841,1737
43,1,1890,1753
44,9,1848,1729
45,6,1950,1809
46,6,1939,1788
47,3,1866,1672
48,7,1932,1738
49,1,1959,1778
50,8,1942,1782
51,7,1915,1774
52,2,1953,1795
53,1,1929,1789
54,9,1892,1785
55,7,1943,1839
56,6,1893,1794
57,3,1900,1807
58,6,1995,1888
59,6,1937,1840
60,8,1941,1824
61,5,1970,1875
62,2,1996,1920
63,9,1958,1895
64,3,1937,1845
66,3,2002,1939
67,7,1939,1862
68,9,1944,1883
69,6,2008,1950
70,6,2049,2031
71,6,2050,1999
72,9,1965,1924
73,7,2025,2019
74,4,2024,2029
75,4,1995,1956
76,2,1970,1954
77,2,1974,1948
78,6,1988,1966
79,7,2023,2045
80,5,2082,2070
81,9,2096,2107
82,5,2070,2083
83,5,2056,2092
84,2,2038,2053
85,6,2048,2060
86,1,2065,2116
87,5,2068,2103
88,1,2085,2099
89,4,2063,2122
90,7,2088,2116
91,4,2089,2132
92,7,2040,2085
94,8,2059,2116
95,9,2060,2125
96,6,2051,2121
97,7,2091,2151
98,4,2058,2131
99,8,2072,2144
100,5,2073,2148
101,3,2085,2182
102,2,2079,2168
