nrh,ix,L,R
3,3,335,256
5,5,349,266
7,2,350,277
8,3,350,299
9,8,357,297
14,6,344,290
16,5,347,301
18,3,377,341
21,2,346,298
22,8,360,328
23,9,342,295
30,3,377,331
40,1,351,356
41,3,332,332
43,4,407,383
44,8,376,379
45,1,395,422
47,5,368,351
49,4,402,400
50,8,399,398
51,9,400,392
55,6,404,401
58,2,433,450
59,4,410,397
65,8,415,442
66,9,358,339
68,1,440,436
69,1,410,402
74,8,429,448
76,2,469,481
77,8,413,444
79,9,396,429
80,5,458,457
81,5,426,444
83,9,395,385
84,1,446,475
85,5,436,459
86,7,414,472
87,2,451,439
89,7,483,515
96,1,399,414
99,6,434,443
103,4,510,522
109,4,514,551
115,3,467,492
117,8,586,648
120,2,508,565
122,1,495,522
123,1,563,614
131,4,561,622
132,8,474,532
139,4,447,548
140,6,435,512
141,5,444,526
142,9,484,556
143,3,478,591
145,7,452,544
146,4,426,512
147,9,504,637
148,5,431,515
149,2,494,581
150,2,469,542
151,8,501,578
152,8,468,562
153,4,494,584
154,7,464,555
155,4,461,557
158,2,516,587
159,4,427,517
161,9,469,540
162,3,529,631
163,8,476,579
165,4,522,644
175,8,458,587
176,3,431,549
177,5,495,641
178,3,387,523
181,4,458,610
182,7,409,575
183,2,449,585
185,5,401,549
186,2,448,602
187,8,373,480
188,3,386,474
194,3,450,589
196,2,353,474
198,4,400,567
203,2,374,534
207,3,362,485
208,8,429,594
213,7,368,511
217,9,329,461
219,8,353,502
220,9,358,514
221,3,338,496
222,8,338,469
225,2,367,523
227,8,349,522
229,6,338,507
231,3,332,496
