nrh,ix,L,R
1,6,1892,906
2,4,1907,918
3,6,1896,946
4,9,1888,926
5,8,1871,941
6,6,1887,923
8,1,1874,958
9,6,1875,971
10,3,1911,982
11,4,1912,957
12,1,1877,983
13,4,1896,973
14,4,1891,993
16,5,1884,1015
17,6,1908,1018
25,4,1879,1056
26,3,1861,1081
27,5,1885,1060
28,6,1865,1097
29,9,1842,1099
30,6,1858,1094
32,7,1810,1136
34,6,1822,1127
35,8,1841,1100
37,8,1830,1157
38,2,1804,1128
40,7,1834,1162
41,1,1805,1151
44,3,1803,1177
47,3,1836,1208
48,1,1814,1198
49,8,1793,1216
50,8,1764,1192
51,8,1779,1224
53,8,1792,1238
54,3,1772,1294
57,8,1733,1255
60,4,1752,1296
61,8,1801,1307
63,7,1713,1274
64,7,1724,1311
66,4,1707,1298
70,9,1720,1378
71,7,1700,1311
73,7,1686,1344
78,2,1620,1365
79,2,1639,1356
80,1,1627,1341
81,2,1637,1322
82,7,1638,1365
85,3,1634,1407
86,7,1577,1433
87,5,1550,1397
89,4,1571,1411
90,3,1532,1374
91,6,1567,1411
93,8,1503,1420
97,8,1479,1456
98,7,1436,1428
99,2,1496,1449
100,7,1447,1444
102,9,1468,1476
103,8,1461,1453
104,7,1452,1464
105,3,1423,1456
108,5,1426,1490
109,5,1437,1490
112,9,1351,1472
113,9,1425,1482
119,2,1313,1442
121,9,1285,1418
122,5,1323,1512
123,7,1287,1486
124,6,1211,1494
126,5,1228,1475
127,9,1247,1475
129,8,1246,1468
130,6,1251,1506
131,7,1217,1477
133,4,1205,1469
134,5,1185,1484
137,1,1172,1477
138,1,1140,1481
139,9,1151,1502
140,3,1146,1495
141,4,1139,1473
142,2,1145,1498
144,8,1088,1508
145,2,1100,1499
146,7,1105,1489
147,4,1062,1493
148,8,1026,1467
150,4,1069,1515
151,8,1030,1503
152,2,1042,1498
153,8,1041,1510
154,6,1013,1493
156,2,1006,1489
157,8,987,1495
159,3,966,1481
