nrh,ix,L,R
1,8,1433,375
2,9,1430,387
3,4,1418,375
4,6,1442,395
5,3,1395,420
6,2,1400,392
7,2,1403,423
8,7,1428,435
9,7,1388,429
10,2,1391,427
11,8,1399,413
12,4,1428,457
13,3,1392,433
14,6,1388,434
15,2,1386,440
16,2,1372,478
17,7,1342,477
18,7,1344,468
19,1,1396,506
20,9,1381,496
21,3,1374,490
22,4,1302,510
23,6,1342,498
24,5,1327,520
25,3,1308,548
26,3,1295,558
27,9,1313,546
28,4,1305,596
29,7,1308,563
30,1,1299,568
31,5,1260,588
32,8,1298,598
33,4,1289,625
34,6,1273,628
35,8,1275,613
36,1,1254,615
37,4,1214,662
38,4,1232,625
39,5,1270,653
40,1,1199,685
41,6,1186,680
42,4,1187,659
43,1,1201,697
44,8,1177,678
45,6,1128,693
46,7,1185,687
47,9,1181,689
48,4,1137,698
49,3,1121,776
50,6,1124,683
51,7,1088,705
52,3,1073,697
53,5,1086,728
54,6,1077,784
55,5,1112,713
56,4,1068,702
57,5,1017,786
58,7,950,776
59,3,1024,753
60,8,1046,784
61,4,973,752
62,9,1011,813
63,7,978,845
64,6,987,809
65,6,951,786
66,7,867,828
67,7,832,763
68,9,908,831
69,3,846,809
70,2,821,754
71,3,840,834
72,3,835,786
73,8,747,802
74,8,776,812
75,8,780,854
76,9,782,838
77,3,764,877
78,4,730,822
79,2,690,847
80,3,699,823
81,7,655,827
82,4,645,835
83,4,657,865
84,8,579,807
85,6,583,814
86,4,548,848
87,6,552,862
88,4,531,859
89,2,537,851
90,1,486,823
91,8,536,856
92,2,448,830
93,8,454,839
94,9,448,846
95,6,424,838
96,9,418,842
97,4,389,845
98,5,381,834
99,1,367,839
100,8,370,842
