nrh,ix,L,R
2,6,1021,912
3,8,1021,927
4,5,1031,953
5,3,1030,965
6,6,1038,993
7,3,1028,986
8,9,1013,1000
9,1,1040,1020
11,6,1024,1034
12,3,1027,1051
14,1,1018,1083
15,7,1025,1081
16,2,1017,1126
19,5,1017,1139
21,3,1031,1227
22,3,997,1130
23,4,1010,1214
25,4,1022,1290
29,8,984,1252
32,2,980,1347
35,3,969,1305
36,5,974,1304
38,6,999,1358
39,9,970,1375
40,6,954,1369
42,4,955,1378
43,4,1000,1423
44,6,977,1426
47,8,966,1476
49,9,935,1498
51,7,966,1536
53,1,955,1555
58,9,939,1517
61,5,937,1628
63,9,926,1615
64,9,919,1603
65,2,913,1597
69,5,884,1591
74,6,891,1633
78,3,902,1683
79,2,882,1692
81,1,914,1783
82,3,865,1704
84,5,898,1741
86,4,860,1764
88,7,894,1757
89,1,891,1810
92,8,870,1768
94,6,875,1800
95,4,863,1825
99,5,848,1832
104,7,805,1813
105,8,796,1811
108,7,796,1844
109,2,807,1908
111,1,805,1884
112,2,803,1913
114,6,782,1876
115,3,774,1911
117,8,798,1904
118,8,791,1929
120,4,773,1905
123,1,761,1907
124,2,749,1901
126,2,750,1909
128,4,754,1950
129,7,734,1899
130,9,730,1907
131,6,724,1935
133,7,702,1926
134,2,713,1938
142,9,660,1937
143,1,649,1944
144,2,654,1956
146,6,674,1937
147,3,656,1946
148,3,655,1972
149,7,646,1957
153,4,632,1952
154,5,622,1966
155,5,611,1954
160,5,599,1966
164,3,622,1999
165,8,606,1995
166,2,592,1969
167,5,583,1969
168,1,590,1979
170,3,581,1983
172,6,572,1973
173,7,570,1983
176,3,566,1982
178,3,569,2001
181,3,563,1990
183,7,552,1993
184,5,554,2000
185,3,566,1992
188,1,552,1987
190,4,556,1983
192,4,548,1987
193,1,543,1994
