nrh,ix,L,R
1,7,1744,1732
2,7,1745,1736
3,4,1751,1743
6,9,1773,1760
8,3,1739,1758
9,3,1770,1770
11,3,1752,1771
13,9,1772,1793
14,8,1788,1819
15,5,1786,1804
16,5,1778,1796
17,8,1786,1829
18,4,1764,1813
20,4,1773,1834
22,6,1755,1795
23,8,1763,1820
24,4,1789,1842
25,5,1764,1846
26,1,1755,1845
27,2,1791,1852
28,9,1776,1857
31,2,1795,1886
32,8,1775,1862
35,3,1809,1923
36,8,1763,1872
37,1,1783,1913
38,2,1806,1923
39,4,1787,1916
40,5,1810,1936
41,3,1804,1910
42,2,1798,1926
43,1,1817,1961
44,2,1790,1954
45,5,1804,1965
46,7,1771,1913
48,1,1780,1958
49,3,1796,1946
50,8,1764,1938
51,5,1800,1976
52,2,1790,1972
53,8,1762,1941
54,6,1792,1966
55,8,1801,1992
56,5,1769,1982
57,2,1771,1999
58,4,1750,1961
59,2,1789,2008
60,5,1793,2035
61,6,1783,2015
62,2,1802,2020
64,5,1787,2020
67,1,1775,2020
69,1,1762,2033
70,5,1739,2030
71,6,1754,2046
72,5,1760,2057
74,7,1790,2079
79,5,1774,2092
80,7,1782,2067
81,9,1823,2127
82,7,1806,2137
83,4,1757,2101
84,7,1785,2099
85,3,1756,2077
86,3,1728,2059
87,5,1796,2124
88,3,1763,2100
89,4,1780,2118
90,7,1742,2079
91,5,1784,2147
93,6,1798,2134
95,5,1762,2131
96,8,1767,2165
97,2,1739,2117
98,5,1770,2133
99,6,1761,2124
100,8,1724,2093
102,3,1699,2094
105,7,1770,2153
106,1,1757,2152
107,3,1751,2164
110,2,1728,2148
111,8,1730,2173
112,5,1735,2151
113,2,1708,2127
114,4,1699,2128
115,7,1714,2139
116,3,1709,2149
117,2,1708,2148
119,4,1699,2149
120,2,1682,2132
121,2,1704,2157
122,8,1690,2137
123,1,1695,2143
124,9,1706,2151
125,2,1677,2134
126,9,1687,2138
127,3,1681,2148
128,4,1686,2142
129,8,1680,2149
