nrh,ix,L,R
1,2,1649,1615
2,8,1645,1619
3,1,1645,1618
5,4,1644,1615
6,5,1644,1612
7,2,1645,1611
8,9,1642,1618
10,6,1650,1626
12,4,1652,1635
13,2,1646,1627
16,3,1644,1620
17,3,1639,1625
19,8,1645,1621
20,1,1646,1635
21,5,1636,1653
22,6,1638,1632
23,6,1645,1635
24,1,1640,1630
26,1,1651,1652
27,3,1646,1630
28,1,1639,1658
29,4,1646,1640
30,3,1640,1659
34,4,1652,1679
35,2,1648,1671
36,5,1641,1665
37,6,1639,1651
38,1,1627,1644
40,9,1606,1645
41,3,1629,1660
43,1,1648,1691
44,5,1635,1655
45,9,1613,1650
47,4,1640,1676
48,4,1637,1701
49,6,1636,1692
50,7,1624,1630
51,2,1645,1665
52,5,1649,1714
53,6,1652,1684
54,9,1639,1704
55,8,1620,1711
56,9,1610,1689
57,8,1626,1673
58,2,1634,1672
59,7,1610,1655
60,6,1627,1675
62,5,1616,1659
63,4,1632,1707
64,7,1630,1704
65,3,1611,1693
66,4,1618,1676
67,5,1614,1718
68,8,1630,1692
70,1,1627,1706
72,4,1609,1695
73,5,1596,1663
74,5,1610,1691
75,9,1614,1662
76,6,1604,1683
77,1,1612,1691
79,3,1600,1659
83,3,1601,1675
84,8,1587,1663
85,3,1569,1681
86,9,1577,1693
88,2,1592,1696
89,1,1582,1699
90,2,1585,1689
91,5,1569,1666
92,9,1589,1678
93,9,1590,1690
94,3,1581,1665
95,5,1578,1682
98,4,1565,1689
100,1,1562,1669
102,5,1555,1696
103,7,1553,1642
104,8,1564,1667
105,3,1537,1657
106,2,1553,1673
107,2,1547,1676
108,7,1532,1664
111,2,1539,1643
112,3,1533,1674
113,9,1527,1679
114,5,1541,1644
116,1,1527,1660
117,3,1525,1641
118,4,1518,1632
120,8,1509,1651
122,8,1510,1646
124,6,1501,1656
125,7,1493,1655
127,2,1493,1627
128,7,1493,1657
129,9,1487,1662
130,7,1481,1638
131,2,1478,1629
132,4,1473,1621
