nrh,ix,L,R
1,7,2194,1842
4,7,2202,1863
6,1,2196,1871
7,3,2184,1859
8,9,2169,1865
10,2,2156,1874
13,2,2177,1914
14,4,2172,1899
16,2,2140,1904
18,2,2151,1933
19,5,2139,1941
21,6,2138,1970
23,8,2149,1980
24,4,2126,1970
25,2,2136,1984
29,5,2103,2019
30,9,2110,2031
32,9,2075,2016
33,8,2113,2044
36,9,2077,2047
38,5,2053,2040
39,6,2047,2068
40,7,2083,2081
43,4,2010,2049
44,6,2028,2110
45,1,2031,2129
47,7,1983,2111
48,5,1993,2131
49,9,2039,2121
50,7,1975,2136
53,6,1949,2129
57,7,1929,2142
58,4,1972,2167
60,8,1961,2189
61,4,1936,2179
66,3,1919,2199
68,1,1886,2202
69,8,1868,2198
71,6,1878,2217
73,2,1863,2222
74,1,1874,2240
76,8,1824,2223
77,8,1827,2211
78,8,1825,2235
79,5,1800,2228
81,9,1838,2253
82,7,1822,2250
84,6,1754,2222
86,9,1782,2261
87,3,1734,2238
89,8,1787,2263
92,4,1677,2238
93,4,1778,2277
94,2,1740,2276
95,6,1726,2260
98,4,1704,2255
99,4,1708,2273
102,1,1638,2264
103,3,1694,2277
106,3,1680,2267
107,4,1646,2265
108,7,1656,2291
109,7,1606,2266
111,3,1628,2279
112,9,1618,2261
113,5,1613,2275
114,5,1638,2287
115,1,1639,2298
116,6,1602,2290
117,5,1586,2283
118,1,1570,2261
121,9,1553,2284
122,9,1541,2278
123,8,1536,2306
124,4,1534,2312
125,2,1572,2284
126,6,1512,2283
129,8,1504,2299
130,7,1487,2299
131,2,1501,2295
132,4,1487,2300
133,5,1465,2296
136,1,1466,2312
137,4,1424,2323
138,6,1413,2317
139,1,1392,2303
140,5,1393,2301
142,7,1410,2310
143,3,1403,2290
144,9,1379,2307
145,4,1381,2315
146,2,1345,2301
148,4,1359,2318
149,5,1332,2303
151,1,1347,2309
153,4,1334,2300
154,2,1326,2305
157,4,1304,2301
158,7,1297,2299
159,6,1292,2297
