nrh,ix,L,R
1,7,2052,1915
3,8,2064,1929
6,3,2048,1941
7,9,2090,1991
8,5,2040,1955
9,7,2073,2016
10,1,2054,2004
11,1,2082,2058
12,2,2047,1988
13,4,2081,2028
14,2,2080,2102
15,5,2052,2034
16,5,1984,2002
17,4,2091,2220
18,6,2072,2134
20,5,2049,2120
21,5,2088,2119
22,4,2097,2169
23,5,2113,2194
24,3,2110,2235
25,1,2109,2139
26,9,2049,2282
27,1,2053,2232
28,9,2089,2273
30,5,2038,2273
31,8,2053,2298
32,1,2056,2283
34,3,2043,2237
35,7,2029,2156
36,6,2100,2288
37,4,2052,2301
38,9,2111,2417
39,7,2080,2270
40,4,2067,2373
41,6,2018,2364
42,8,2047,2413
43,5,2092,2460
44,5,2119,2501
46,2,1979,2295
47,7,2065,2373
49,9,1971,2280
50,3,2067,2468
51,5,2007,2356
52,4,2079,2487
53,2,1979,2449
54,4,2035,2508
55,2,2120,2476
56,5,1992,2399
57,2,2105,2530
58,9,2068,2499
59,3,2041,2530
60,2,2031,2526
61,4,1950,2488
63,5,2071,2579
64,6,2047,2554
65,3,2058,2532
67,2,1950,2490
68,1,2021,2551
69,4,1978,2558
70,6,2049,2618
71,2,2076,2611
72,6,1950,2583
74,6,1914,2473
75,4,1911,2554
78,8,1938,2586
79,2,2051,2680
80,7,1896,2576
81,9,1920,2634
82,7,1816,2468
83,1,1877,2597
84,3,1916,2633
87,5,1925,2674
88,8,1847,2640
89,2,1843,2568
91,6,1882,2653
92,1,1846,2571
93,1,1864,2710
94,3,1860,2683
95,9,1842,2650
96,5,1872,2647
97,7,1817,2568
98,5,1789,2635
99,6,1783,2609
100,8,1768,2608
101,9,1750,2565
102,2,1728,2597
103,7,1698,2550
105,8,1813,2629
106,1,1790,2635
107,6,1718,2566
109,9,1773,2655
111,6,1673,2586
112,4,1684,2627
113,4,1651,2601
114,4,1661,2597
115,4,1624,2560
116,2,1631,2580
117,8,1608,2578
118,5,1597,2573
119,9,1616,2577
