nrh,ix,L,R
4,3,911,581
8,6,867,590
10,9,869,587
11,8,875,583
13,9,930,598
14,6,904,600
18,5,873,596
19,2,849,595
21,3,915,608
30,6,868,608
33,4,855,596
37,7,849,604
38,1,857,608
40,3,882,611
49,8,835,606
58,1,849,607
59,4,841,604
64,9,843,613
65,6,817,628
66,2,832,625
70,2,831,629
74,4,820,600
78,4,825,619
81,9,904,622
82,2,817,640
84,2,789,629
86,3,803,589
87,7,813,615
88,3,813,613
94,2,894,644
95,9,818,622
97,5,817,639
98,6,838,624
99,4,803,627
102,2,802,627
109,5,817,636
110,1,778,618
111,8,776,650
123,1,767,581
127,3,802,658
133,8,806,668
134,9,788,647
136,9,781,652
137,3,818,656
142,1,730,612
147,3,812,648
151,6,808,657
152,6,820,682
156,3,742,607
160,4,714,628
161,6,784,635
162,8,763,656
163,3,758,615
166,9,739,630
167,9,746,639
168,7,761,654
172,6,746,641
174,5,772,658
176,3,749,671
180,4,738,633
183,8,724,638
185,7,706,623
186,4,715,620
187,8,718,627
190,5,705,614
191,3,737,670
194,5,686,621
198,3,750,656
210,4,752,664
214,2,719,647
219,1,728,681
221,4,649,626
223,5,645,619
228,9,704,658
231,7,708,685
241,3,718,670
245,2,642,636
249,9,645,646
250,4,653,656
251,2,636,642
252,1,666,668
253,8,614,631
262,3,595,624
266,5,589,612
270,3,607,637
276,6,620,670
277,1,595,645
278,2,561,623
279,7,579,635
280,4,563,622
281,7,561,611
286,8,571,628
291,4,557,617
295,2,548,619
301,9,526,624
303,1,538,627
305,8,532,633
307,7,521,609
308,6,526,620
309,7,522,620
