nrh,ix,L,R
1,9,1690,1350
2,1,1702,1366
3,8,1702,1377
5,3,1675,1409
6,4,1707,1386
7,1,1691,1413
8,3,1698,1406
9,5,1712,1450
10,9,1707,1422
11,7,1689,1444
12,8,1682,1451
13,9,1689,1503
14,7,1670,1462
15,8,1714,1451
16,6,1673,1470
18,4,1711,1548
19,7,1667,1477
20,7,1678,1566
21,4,1691,1520
23,5,1734,1611
25,5,1677,1585
26,5,1714,1631
27,8,1631,1589
28,3,1724,1595
29,9,1687,1658
31,5,1691,1655
32,5,1676,1670
33,5,1658,1661
34,8,1708,1635
35,3,1666,1681
36,8,1700,1742
37,7,1681,1696
38,1,1681,1761
39,7,1671,1733
40,1,1692,1691
41,6,1696,1676
44,6,1688,1732
45,8,1650,1811
46,4,1625,1843
47,4,1676,1794
48,4,1603,1809
49,5,1652,1867
52,7,1677,1882
53,6,1661,1858
54,9,1660,1861
55,9,1622,1904
57,4,1643,1892
58,4,1625,1887
59,1,1617,1978
60,2,1617,1941
61,1,1608,1935
62,9,1616,1985
63,1,1575,1937
64,9,1605,1931
65,1,1624,2017
66,3,1598,1947
68,2,1600,2036
70,2,1574,1985
71,1,1587,2022
72,4,1563,2000
74,6,1529,2043
76,2,1573,2051
77,2,1577,2016
78,2,1569,2024
79,1,1539,2084
81,5,1565,2078
82,3,1507,2076
83,9,1467,2067
84,3,1513,2101
85,2,1475,2113
86,7,1521,2046
87,6,1462,2094
88,5,1460,2130
89,5,1447,2107
90,9,1468,2109
91,6,1457,2104
93,8,1433,2115
95,4,1410,2103
96,6,1443,2073
97,5,1446,2133
98,5,1428,2138
99,6,1405,2111
100,5,1404,2119
101,2,1398,2145
102,3,1395,2158
103,2,1390,2103
105,8,1359,2118
106,1,1338,2132
107,2,1326,2143
108,8,1315,2130
109,5,1319,2144
111,3,1303,2147
112,5,1300,2137
113,5,1283,2149
114,8,1272,2119
115,9,1275,2129
116,2,1247,2133
117,5,1244,2125
119,6,1225,2126
121,4,1216,2120
