nrh,ix,L,R
1,5,1975,1930
3,7,1958,1926
5,5,1988,1939
6,6,1964,1925
7,4,1958,1932
11,8,1965,1937
12,5,1961,1954
14,1,1971,1952
16,4,1961,1947
17,4,1961,1957
18,6,1969,1959
21,5,1980,1970
26,3,1954,1959
28,2,1959,1960
32,5,1940,1964
33,7,1947,1958
35,2,1952,1980
36,9,1969,1995
38,9,1963,1973
39,4,1965,1991
40,8,1943,1976
42,2,1964,2014
46,4,1948,2014
48,5,1974,2020
50,4,1964,2015
53,6,1963,2029
57,3,1944,2001
58,8,1949,2018
59,6,1943,2032
61,3,1959,2056
62,8,1958,2057
65,2,1960,2056
67,1,1942,2043
68,9,1940,2069
69,7,1953,2092
72,9,1969,2087
73,3,1932,2074
75,4,1924,2045
77,8,1915,2049
79,2,1961,2095
80,8,1938,2071
84,4,1961,2095
89,1,1902,2042
90,4,1928,2106
91,8,1899,2052
93,8,1934,2105
94,2,1889,2052
98,2,1951,2135
99,2,1926,2118
101,7,1877,2101
102,9,1897,2072
104,3,1908,2119
107,6,1917,2115
108,9,1904,2134
109,6,1895,2092
110,4,1903,2117
111,5,1891,2099
112,5,1882,2098
114,2,1895,2120
115,1,1932,2170
116,4,1901,2136
120,9,1870,2083
122,9,1896,2113
123,6,1895,2155
124,3,1905,2165
128,7,1892,2139
129,3,1866,2126
131,1,1860,2106
134,5,1870,2107
136,9,1867,2135
139,2,1857,2124
141,4,1825,2109
145,3,1831,2166
147,8,1841,2141
150,4,1815,2136
151,8,1806,2123
154,6,1832,2144
156,2,1780,2176
158,7,1811,2216
161,8,1820,2159
163,1,1767,2148
164,2,1799,2190
166,9,1771,2163
169,8,1774,2187
170,9,1747,2187
172,6,1763,2179
174,1,1722,2191
176,3,1730,2136
177,2,1747,2184
180,7,1724,2195
183,6,1727,2170
184,9,1703,2147
187,7,1676,2178
188,9,1650,2163
192,9,1679,2176
193,1,1677,2167
194,7,1633,2163
197,6,1628,2169
198,8,1617,2149
199,6,1618,2152
