nrh,ix,L,R
7,7,725,655
8,8,718,661
9,8,724,659
10,4,717,669
12,2,731,665
13,5,734,688
14,2,748,683
15,5,778,704
16,2,728,692
17,1,724,681
18,3,732,686
19,1,721,672
20,4,724,669
21,7,741,688
22,5,728,689
23,2,720,678
24,3,746,711
25,1,746,711
26,4,742,698
27,2,740,702
29,9,748,701
30,9,735,684
31,7,752,721
32,8,765,721
33,8,742,699
34,4,747,724
35,5,742,709
36,8,745,693
37,7,772,741
39,3,771,724
41,9,782,724
42,4,735,690
44,6,731,699
45,8,737,722
46,3,738,708
47,4,733,707
50,8,738,721
52,9,738,723
53,9,739,722
54,9,750,739
56,1,729,734
57,1,729,727
58,6,785,745
59,1,751,738
60,2,731,727
63,2,730,726
64,2,733,725
65,3,744,732
66,5,734,740
67,3,775,762
68,6,724,732
69,3,735,732
71,6,749,751
72,7,739,737
74,3,742,739
75,6,743,754
77,6,751,770
78,9,735,732
80,2,722,747
82,1,718,740
83,1,756,779
85,5,727,746
86,9,721,757
87,1,749,757
90,7,742,762
91,2,711,750
93,6,739,751
94,9,750,786
95,4,739,765
97,1,729,763
98,9,732,781
101,9,716,767
102,4,712,754
105,5,733,769
106,7,711,762
107,4,726,776
108,5,710,756
109,1,706,764
111,7,707,780
112,2,704,766
113,1,727,770
114,6,709,756
115,5,695,747
116,6,694,757
117,4,694,759
120,9,694,762
121,1,687,752
122,6,690,753
123,2,668,742
125,4,688,754
126,6,684,752
127,8,678,750
128,1,677,753
129,6,673,751
130,3,678,756
132,7,672,761
133,9,671,755
135,8,673,757
139,3,671,754
140,7,669,746
