nrh,ix,L,R
6,9,200,131
7,2,195,123
10,3,207,141
11,7,190,137
12,1,211,153
13,1,189,140
14,6,181,128
17,1,195,143
19,8,206,178
20,6,200,179
22,9,202,196
23,8,196,186
25,2,190,188
28,1,202,232
29,9,197,201
30,2,193,208
31,8,190,210
32,3,198,229
33,5,188,215
35,4,232,284
36,5,217,261
37,9,189,236
38,1,213,252
41,7,207,276
42,8,207,277
43,4,203,282
45,4,203,281
46,8,202,283
48,4,223,341
49,9,217,324
53,5,210,332
54,2,211,311
55,9,214,316
57,9,199,311
58,7,205,325
60,4,200,360
61,1,201,368
62,6,189,337
63,5,214,369
64,8,222,380
65,6,203,378
66,7,217,378
67,7,202,370
68,9,208,389
69,9,201,384
72,4,219,402
73,2,190,401
76,7,213,418
80,4,186,434
81,4,213,438
85,1,190,423
86,1,163,435
90,3,198,457
92,5,198,475
93,8,200,459
96,1,194,445
98,9,218,501
99,8,192,490
100,4,205,493
101,7,185,507
102,8,185,484
105,1,186,494
106,6,184,511
107,4,194,501
108,2,184,524
111,6,181,547
114,5,186,525
115,7,182,541
117,1,167,510
118,2,173,595
119,9,189,617
120,9,169,536
122,4,164,581
127,3,146,606
128,2,146,597
129,7,141,621
130,6,139,622
132,3,150,655
134,2,179,643
137,2,149,634
138,7,144,669
139,7,148,673
140,8,146,666
141,2,142,639
142,7,137,685
143,4,142,660
144,5,129,662
145,1,132,661
147,9,125,666
148,4,136,689
149,6,138,677
150,4,137,688
151,8,146,689
153,2,121,675
154,9,133,697
155,2,126,690
157,3,126,719
159,7,121,702
160,2,115,699
161,7,116,700
