nrh,ix,L,R
11,6,2654,2161
18,7,2670,2197
20,4,2684,2208
25,2,2657,2206
29,8,2683,2284
42,3,2725,2369
45,1,2705,2336
49,7,2732,2382
52,1,2718,2387
55,3,2689,2401
59,8,2724,2423
61,1,2715,2449
66,3,2741,2508
68,3,2729,2554
72,2,2739,2545
79,3,2743,2591
83,5,2719,2605
101,4,2764,2675
105,3,2737,2664
106,9,2768,2686
111,3,2787,2775
118,1,2750,2773
121,1,2739,2793
123,5,2727,2783
126,8,2761,2804
129,5,2768,2802
133,2,2744,2859
137,6,2771,2895
139,9,2718,2869
145,4,2729,2858
150,1,2735,2916
152,5,2725,2901
156,3,2726,2908
158,6,2725,2928
159,1,2728,2977
162,6,2720,2994
166,3,2748,3007
168,9,2731,3003
173,1,2736,3047
178,2,2720,3023
180,9,2715,3062
184,7,2722,3034
185,7,2705,3086
188,9,2704,3059
189,3,2738,3130
190,8,2738,3085
196,7,2713,3111
197,2,2707,3090
212,5,2712,3150
215,9,2706,3158
217,3,2686,3198
220,5,2670,3194
223,3,2680,3204
224,1,2679,3223
226,9,2664,3180
229,7,2656,3207
231,8,2667,3184
241,7,2628,3217
246,8,2631,3255
248,9,2639,3277
253,5,2619,3250
259,7,2612,3262
260,4,2622,3286
261,3,2622,3241
265,4,2620,3306
266,4,2616,3276
267,4,2616,3305
268,4,2612,3292
269,4,2591,3256
272,7,2598,3266
279,2,2578,3324
282,1,2600,3297
287,5,2612,3303
289,8,2573,3333
291,3,2580,3294
292,7,2573,3316
293,1,2611,3305
294,3,2605,3304
296,6,2571,3334
306,9,2564,3313
309,2,2578,3373
311,8,2552,3348
317,1,2549,3356
319,6,2539,3349
321,8,2556,3380
324,2,2529,3375
325,3,2537,3369
332,8,2526,3375
338,1,2507,3357
345,8,2505,3388
350,1,2486,3390
351,2,2488,3383
358,8,2458,3392
359,6,2449,3402
361,6,2452,3363
362,4,2446,3400
363,1,2439,3393
365,3,2440,3397
368,7,2440,3401
373,7,2416,3415
