nrh,ix,L,R
1,7,2378,2520
2,4,2377,2537
3,7,2359,2503
4,4,2398,2561
6,4,2428,2595
7,7,2431,2596
8,2,2391,2563
9,4,2428,2616
10,4,2394,2595
11,8,2407,2570
12,9,2424,2599
13,4,2447,2636
14,2,2464,2668
15,8,2428,2689
16,3,2433,2618
17,1,2475,2727
18,6,2431,2627
19,4,2425,2639
21,3,2418,2622
23,1,2396,2665
25,5,2447,2717
26,4,2422,2711
27,3,2488,2735
28,7,2406,2683
29,5,2419,2691
31,7,2451,2786
32,5,2481,2775
33,4,2425,2701
34,1,2419,2776
36,8,2446,2811
38,8,2472,2785
39,1,2461,2841
40,5,2448,2841
41,6,2483,2870
42,1,2488,2836
44,4,2450,2847
46,1,2468,2874
48,4,2488,2888
49,1,2444,2844
50,6,2442,2858
51,6,2459,2848
52,5,2491,2919
54,7,2465,2903
56,9,2446,2895
57,8,2457,2901
58,9,2460,2910
59,4,2439,2897
60,3,2446,2936
61,9,2432,2933
63,5,2425,2907
64,9,2449,2945
66,2,2429,2923
67,6,2461,2942
68,6,2426,2934
69,8,2448,2962
70,5,2420,2911
71,9,2445,2976
72,5,2445,2912
73,9,2444,2950
74,1,2438,2935
76,5,2428,2953
77,2,2401,2960
79,6,2435,2954
83,6,2353,2882
84,5,2365,2931
85,9,2372,2954
86,6,2397,2983
88,6,2405,2984
89,8,2357,2945
90,3,2391,2971
91,9,2371,2987
92,4,2380,2936
94,9,2410,3003
95,7,2371,2988
97,1,2368,2974
98,4,2343,2956
99,2,2368,2981
100,6,2348,2938
101,9,2342,2996
102,7,2337,2979
103,5,2341,2960
104,7,2301,2944
105,7,2315,2971
107,3,2335,2963
108,1,2320,2983
109,2,2294,2964
110,5,2303,2975
111,4,2299,2948
112,3,2305,2992
113,8,2302,2996
115,7,2278,2989
116,8,2262,2975
118,3,2266,2971
120,7,2243,2975
121,6,2230,2958
122,6,2249,2990
123,4,2230,2972
125,6,2220,2964
126,8,2216,2959
127,2,2223,2965
