nrh,ix,L,R
7,2,2700,1495
8,3,2692,1494
9,1,2697,1519
12,4,2699,1528
16,5,2647,1522
23,1,2673,1577
34,3,2640,1618
35,1,2633,1635
45,6,2586,1661
48,9,2598,1694
52,4,2573,1689
54,9,2611,1702
57,9,2580,1717
60,4,2540,1722
75,3,2485,1774
76,4,2571,1782
78,8,2511,1802
83,7,2539,1831
88,7,2506,1833
89,2,2482,1807
94,1,2489,1865
95,7,2551,1878
105,7,2457,1903
121,2,2422,1958
132,1,2376,1986
144,2,2317,2026
146,4,2303,2026
149,3,2308,2055
157,5,2293,2074
158,1,2346,2068
162,6,2231,2080
164,8,2249,2077
170,4,2242,2092
173,3,2197,2107
176,1,2256,2113
179,6,2213,2136
182,3,2212,2117
193,8,2113,2142
200,8,2136,2175
202,8,2111,2140
206,3,2063,2181
209,2,2098,2178
218,3,2011,2161
221,7,2049,2203
223,7,1979,2220
224,6,1982,2216
230,7,1962,2200
234,9,1987,2243
235,3,1943,2226
241,3,1936,2249
242,7,1897,2258
244,1,1900,2211
248,6,1890,2225
256,6,1901,2296
266,4,1803,2303
270,6,1793,2296
275,6,1751,2297
276,1,1776,2301
277,5,1729,2301
283,2,1720,2311
291,5,1701,2317
292,9,1680,2316
293,6,1682,2321
304,3,1595,2332
305,1,1604,2347
318,7,1563,2338
320,5,1499,2323
321,8,1559,2347
326,6,1497,2332
327,2,1468,2309
329,4,1479,2338
333,7,1465,2345
341,9,1461,2328
343,8,1448,2360
349,8,1417,2350
358,3,1336,2353
361,2,1339,2337
362,4,1361,2358
371,4,1296,2338
380,3,1283,2352
383,7,1251,2380
388,8,1272,2345
390,7,1249,2353
393,6,1211,2345
394,9,1198,2348
409,1,1163,2368
412,3,1139,2347
417,6,1117,2358
425,2,1096,2360
436,5,1013,2349
442,7,1007,2363
463,1,932,2370
464,9,921,2346
465,4,934,2354
467,2,929,2358
468,5,923,2363
476,1,891,2346
481,5,867,2334
496,3,824,2334
501,1,805,2326
