nrh,ix,L,R
2,2,2396,2643
3,1,2394,2641
7,4,2405,2676
8,3,2400,2702
10,1,2395,2680
14,3,2407,2727
16,6,2393,2710
17,6,2411,2723
18,9,2399,2748
19,8,2389,2713
22,1,2383,2739
25,8,2404,2785
27,9,2384,2783
29,6,2383,2748
31,3,2379,2770
34,9,2410,2778
37,3,2432,2828
44,2,2397,2839
46,9,2360,2804
47,1,2347,2819
49,3,2401,2849
50,3,2383,2881
51,6,2395,2858
53,7,2361,2895
54,3,2369,2861
55,5,2378,2849
56,6,2387,2912
58,8,2337,2889
59,4,2316,2901
60,3,2346,2918
61,3,2355,2933
62,9,2324,2898
63,4,2373,2910
64,9,2283,2886
65,5,2395,2924
66,7,2322,2963
67,3,2359,2908
68,5,2351,3000
69,3,2364,2957
70,3,2340,2885
71,1,2339,2933
72,9,2320,2955
74,7,2301,2921
75,3,2351,2936
78,6,2295,2986
79,1,2297,2927
80,3,2305,2990
81,7,2301,2907
82,8,2269,2860
83,5,2362,2936
84,8,2308,2945
85,8,2316,2981
86,5,2316,2946
87,9,2330,3008
88,3,2272,2907
89,1,2267,2953
90,1,2270,2915
95,6,2156,2942
98,8,2291,2984
99,7,2232,2936
100,1,2267,2968
101,2,2211,2924
102,2,2217,2967
103,7,2229,2976
107,6,2227,2987
108,2,2228,2990
109,6,2160,2964
110,3,2205,2993
112,7,2234,3002
114,9,2179,2930
115,3,2165,2972
116,4,2194,2991
117,5,2216,2965
120,9,2177,2946
121,5,2181,2953
122,9,2140,2976
125,3,2169,2949
127,1,2137,2929
128,5,2156,2948
129,4,2134,2979
131,4,2104,2936
133,2,2096,2951
134,7,2093,2956
135,2,2098,2937
136,4,2113,2933
137,5,2083,2936
138,2,2092,2948
139,1,2077,2919
140,6,2094,2936
143,6,2089,2927
145,3,2073,2899
147,3,2044,2893
149,7,2021,2888
150,4,2059,2889
151,8,2026,2878
152,3,2012,2906
153,9,2008,2896
155,4,2006,2884
157,1,2003,2883
158,3,1973,2869
