nrh,ix,L,R
1,9,2497,1437
2,3,2498,1449
7,4,2522,1503
10,4,2518,1551
12,7,2526,1557
13,9,2536,1579
15,8,2536,1598
16,2,2517,1622
17,6,2507,1583
18,3,2543,1658
19,6,2523,1612
20,4,2522,1634
24,2,2511,1695
26,5,2511,1727
31,5,2517,1767
32,9,2540,1800
33,8,2519,1838
35,1,2560,1799
36,6,2500,1801
39,1,2516,1896
40,8,2520,1872
41,3,2541,1878
44,5,2524,1923
46,8,2513,1936
50,4,2541,1966
51,9,2488,1934
54,3,2477,1990
58,6,2515,2059
61,4,2478,2056
63,7,2492,2067
65,7,2504,2142
67,1,2492,2115
68,8,2510,2154
69,8,2495,2125
70,5,2466,2107
71,7,2465,2168
73,6,2507,2224
76,6,2441,2178
78,5,2498,2237
81,9,2470,2252
83,8,2476,2262
84,1,2453,2270
86,2,2439,2244
87,1,2453,2293
90,2,2470,2325
92,4,2448,2299
93,5,2411,2312
96,7,2455,2336
99,3,2413,2333
100,5,2418,2393
101,2,2350,2340
104,8,2402,2401
105,9,2457,2434
109,6,2392,2441
111,6,2362,2465
113,4,2380,2435
115,3,2335,2386
117,5,2320,2427
119,1,2357,2464
124,4,2357,2465
125,4,2318,2460
126,6,2326,2476
128,2,2324,2501
129,8,2324,2479
130,5,2320,2497
132,7,2281,2515
140,1,2282,2532
141,5,2257,2507
142,3,2252,2505
143,8,2285,2515
144,9,2232,2522
147,5,2199,2538
148,9,2224,2563
150,4,2149,2539
151,7,2181,2526
156,1,2127,2533
158,5,2147,2567
159,9,2167,2582
160,6,2129,2568
162,7,2102,2559
163,9,2132,2587
164,4,2141,2575
168,8,2087,2570
169,7,2070,2572
170,7,2073,2568
171,6,2061,2606
172,8,2118,2620
174,3,2046,2585
176,8,1971,2600
177,8,2027,2603
184,2,1968,2580
185,8,1914,2581
189,5,1917,2583
195,4,1863,2583
196,2,1865,2613
197,3,1873,2608
198,2,1861,2599
199,8,1872,2616
200,6,1843,2605
202,6,1844,2604
