nrh,ix,L,R
4,7,1835,432
6,7,1847,449
13,7,1896,534
17,8,1941,548
18,4,1913,534
19,8,1909,585
22,6,1972,622
25,9,1900,591
40,6,2054,811
46,9,2036,794
47,2,2075,843
52,9,2057,924
56,3,2102,961
60,1,2139,995
64,7,2116,1038
67,6,2164,1121
82,4,2121,1123
86,4,2034,1244
90,3,2225,1334
93,7,2140,1294
95,3,2177,1365
101,4,2153,1439
102,2,2279,1474
109,1,2272,1527
110,9,2258,1554
111,5,2169,1468
114,4,2236,1467
119,8,2121,1550
123,3,2299,1645
129,3,2321,1644
131,5,2262,1635
135,5,2294,1665
138,2,2147,1630
140,8,2163,1686
150,3,2268,1850
155,1,2255,1882
157,5,2312,1920
162,2,2274,1894
166,5,2282,1962
168,1,2336,1997
170,1,2235,1997
173,6,2173,1940
175,5,2196,1891
183,2,2321,2079
185,7,2240,2044
193,2,2247,2109
197,7,2192,2189
199,4,2340,2203
203,1,2232,2154
207,2,2137,2193
209,5,2222,2230
213,6,2056,2182
224,4,2318,2421
233,4,2192,2341
239,9,2069,2349
246,7,2083,2401
255,2,2116,2436
258,2,2066,2466
263,5,1970,2437
271,4,2012,2510
272,3,2192,2612
274,8,2009,2546
277,9,2031,2547
279,6,2006,2550
287,2,1996,2577
290,9,1999,2676
292,2,2024,2608
293,6,2016,2624
297,2,1989,2685
301,2,2020,2627
305,2,1860,2593
312,9,1895,2671
317,8,1862,2650
319,5,1844,2649
323,9,1841,2698
325,8,1878,2720
326,9,1927,2723
327,3,1893,2737
332,1,1921,2748
336,8,1848,2719
337,4,1800,2719
339,5,1822,2718
341,8,1860,2729
345,8,1783,2727
351,5,1851,2750
357,4,1831,2761
361,9,1799,2785
365,6,1775,2791
371,7,1784,2807
378,8,1755,2832
379,8,1800,2830
381,1,1712,2774
383,4,1741,2833
389,2,1727,2837
396,5,1698,2809
401,8,1698,2845
403,2,1696,2846
405,5,1740,2884
414,5,1694,2865
419,9,1676,2875
