nrh,ix,L,R
1,9,1965,2081
2,7,1968,2090
4,1,1970,2112
5,1,1975,2118
6,4,1966,2124
10,9,1964,2122
12,8,1971,2120
14,7,1975,2142
15,1,1959,2138
17,8,1974,2136
18,8,1958,2150
21,8,1972,2145
23,9,1966,2192
24,4,1983,2186
26,3,1963,2211
29,7,1990,2216
30,8,1958,2232
31,1,1941,2225
32,3,2001,2269
33,9,1991,2233
34,7,1955,2269
36,4,1972,2228
37,9,1961,2265
38,6,1921,2263
39,2,1945,2249
40,2,1975,2274
41,1,1974,2296
42,5,1924,2254
43,9,1948,2296
45,7,1951,2302
47,6,1946,2309
48,2,1950,2309
49,1,1937,2313
50,1,1956,2317
51,4,1937,2306
52,9,1929,2356
54,5,1954,2324
55,4,1928,2366
57,3,1919,2292
58,6,1911,2348
60,3,1940,2425
61,8,1865,2353
62,1,1922,2305
63,3,1889,2332
65,8,1921,2392
66,4,1889,2382
67,5,1885,2349
71,8,1908,2372
72,8,1884,2368
73,4,1905,2389
75,2,1898,2411
76,4,1925,2414
77,4,1872,2413
78,7,1843,2370
81,6,1874,2471
82,5,1923,2459
83,4,1878,2390
84,4,1875,2431
86,3,1874,2432
87,9,1846,2379
90,7,1858,2476
91,9,1842,2455
92,8,1848,2489
93,4,1902,2503
94,6,1924,2489
97,8,1853,2514
98,1,1839,2498
99,7,1835,2495
100,4,1826,2459
101,4,1862,2487
102,1,1837,2458
104,4,1811,2480
106,7,1819,2487
107,1,1821,2486
108,6,1868,2524
109,4,1862,2526
110,6,1799,2472
111,3,1814,2490
113,1,1865,2548
114,3,1816,2512
115,6,1801,2491
117,8,1812,2517
118,5,1785,2515
119,6,1829,2567
122,6,1767,2470
124,5,1836,2522
126,7,1753,2486
127,8,1777,2485
128,6,1801,2539
129,9,1778,2493
133,7,1765,2505
134,6,1750,2512
135,6,1735,2506
137,6,1759,2518
138,2,1728,2494
139,8,1728,2503
140,7,1743,2499
141,2,1728,2508
143,6,1724,2516
147,4,1696,2510
