nrh,ix,L,R
1,8,2471,1778
3,1,2477,1788
7,9,2480,1825
15,4,2498,1866
18,3,2484,1874
21,4,2467,1886
27,9,2499,1909
28,4,2484,1919
30,8,2484,1931
32,7,2503,1929
33,4,2471,1950
34,5,2467,1954
38,7,2500,1958
40,6,2508,1992
45,3,2487,2012
50,9,2484,2038
51,1,2493,2063
54,7,2498,2047
57,2,2462,2051
58,9,2462,2066
62,8,2455,2053
71,6,2470,2118
74,9,2456,2146
81,7,2505,2150
82,7,2485,2138
85,1,2472,2147
86,8,2426,2140
88,7,2420,2160
89,3,2413,2180
90,1,2413,2174
95,2,2435,2223
98,7,2429,2209
101,5,2440,2229
106,6,2398,2231
107,5,2359,2218
113,6,2400,2254
114,3,2353,2241
115,9,2359,2260
119,8,2351,2275
120,4,2410,2295
122,8,2337,2293
123,7,2328,2288
124,9,2390,2335
126,8,2379,2335
132,3,2321,2328
136,3,2349,2337
145,4,2335,2395
147,1,2279,2398
149,1,2254,2396
151,9,2293,2409
153,3,2241,2385
154,2,2310,2409
157,4,2261,2414
164,4,2263,2465
173,5,2186,2439
176,4,2206,2456
185,4,2125,2503
188,4,2127,2498
189,5,2141,2499
190,9,2167,2511
191,5,2075,2503
193,5,2083,2526
196,7,2091,2532
200,5,2093,2541
206,3,2092,2542
209,7,2070,2567
210,2,2045,2548
214,4,2030,2539
215,9,1999,2531
219,1,2007,2575
224,8,1979,2590
226,1,1979,2572
228,6,1984,2555
229,2,1950,2594
232,5,1936,2578
233,1,1868,2555
235,7,1932,2595
236,3,1919,2567
240,4,1915,2590
242,9,1868,2597
246,1,1876,2609
263,6,1791,2626
267,5,1763,2625
273,7,1743,2653
275,4,1759,2656
280,5,1671,2667
283,6,1646,2653
284,4,1650,2657
285,2,1648,2660
286,3,1610,2659
292,6,1595,2649
293,8,1561,2642
295,7,1535,2632
297,9,1564,2647
299,1,1507,2632
300,3,1529,2654
301,3,1518,2646
304,3,1498,2633
306,7,1487,2635
307,5,1486,2636
