nrh,ix,L,R
1,2,1326,1458
2,8,1321,1436
3,3,1347,1462
4,4,1324,1456
5,1,1321,1445
6,9,1285,1421
7,8,1295,1437
8,8,1307,1466
9,5,1327,1462
10,1,1303,1454
11,7,1323,1478
12,5,1318,1451
13,9,1318,1474
14,5,1317,1509
15,5,1270,1413
16,9,1341,1522
17,2,1326,1481
18,8,1295,1502
19,3,1304,1513
21,9,1306,1511
22,1,1280,1527
23,3,1281,1474
24,8,1287,1484
25,4,1281,1450
26,9,1293,1550
28,1,1262,1547
29,1,1251,1525
30,6,1258,1520
31,8,1247,1522
32,1,1247,1508
33,4,1239,1520
34,3,1219,1477
35,2,1201,1466
36,1,1161,1432
37,4,1243,1516
38,7,1216,1439
39,4,1194,1475
40,1,1172,1459
41,2,1212,1500
42,3,1209,1475
43,2,1165,1419
44,4,1170,1510
45,9,1163,1493
46,2,1194,1482
47,1,1137,1503
49,8,1146,1454
50,9,1156,1476
51,9,1180,1548
52,6,1118,1522
53,2,1125,1521
54,2,1149,1522
55,8,1140,1508
56,2,1123,1522
57,1,1080,1462
58,9,1113,1508
59,4,1076,1459
60,7,1069,1457
61,6,1089,1450
62,7,1073,1475
63,8,1071,1464
64,7,1058,1492
65,2,1072,1456
66,8,1037,1477
67,2,1103,1520
68,3,1032,1464
69,3,1032,1443
70,8,1007,1420
71,5,1012,1476
73,6,977,1442
74,1,1004,1506
75,7,1035,1425
76,9,1005,1442
77,3,968,1411
78,7,930,1406
79,6,955,1408
80,8,933,1429
81,4,946,1419
82,2,939,1427
83,4,921,1394
84,7,918,1391
85,4,929,1429
86,2,915,1358
87,1,910,1362
88,3,873,1361
89,1,888,1348
90,7,871,1341
91,1,896,1422
92,1,861,1366
93,4,870,1350
94,7,866,1398
95,3,832,1332
96,9,827,1329
97,4,835,1321
99,9,823,1321
100,4,834,1330
102,6,828,1354
103,5,817,1326
104,3,779,1291
105,2,779,1301
106,9,768,1275
