nrh,ix,L,R
1,2,1204,1330
4,1,1204,1346
5,7,1226,1355
6,7,1247,1379
7,6,1229,1359
8,1,1246,1388
11,9,1244,1374
13,9,1247,1396
15,5,1347,1492
16,7,1303,1466
19,6,1268,1448
20,6,1325,1500
27,2,1385,1576
28,6,1308,1472
30,7,1423,1578
32,5,1396,1548
33,9,1378,1557
35,6,1403,1595
40,4,1414,1635
45,4,1463,1695
46,3,1444,1689
47,3,1479,1697
50,9,1424,1668
52,1,1490,1724
53,4,1465,1717
55,3,1467,1709
56,2,1457,1697
59,1,1463,1721
60,1,1397,1651
62,5,1446,1699
63,3,1459,1738
65,6,1515,1737
70,7,1531,1803
71,1,1479,1765
75,3,1488,1804
77,3,1524,1774
78,9,1546,1826
81,9,1525,1785
82,6,1565,1838
84,2,1466,1748
89,3,1533,1834
94,8,1541,1848
97,4,1568,1870
102,3,1451,1824
105,4,1562,1860
106,8,1532,1897
111,2,1531,1892
112,5,1534,1929
113,2,1528,1913
115,2,1579,1950
116,9,1503,1886
117,4,1567,1913
118,2,1563,1898
120,1,1543,1924
122,8,1527,1919
123,3,1591,1970
124,8,1502,1849
125,5,1522,1903
132,8,1532,1956
136,7,1501,1936
138,9,1513,1936
140,7,1548,1949
142,4,1518,1916
144,9,1531,1980
146,8,1493,1930
149,8,1542,1936
151,4,1496,1922
153,9,1479,1909
156,7,1499,1905
157,5,1527,1959
158,9,1501,1958
161,1,1472,1921
162,8,1478,1942
167,9,1446,1911
168,2,1487,1910
169,4,1495,1956
172,2,1464,1929
173,5,1474,1917
174,2,1446,1894
176,6,1472,1928
177,8,1440,1904
179,6,1448,1888
180,2,1438,1909
181,4,1454,1940
183,5,1443,1909
186,6,1429,1912
188,5,1432,1904
192,1,1436,1907
193,9,1407,1883
195,7,1428,1902
196,1,1402,1867
197,2,1424,1900
199,2,1408,1891
200,4,1412,1894
201,5,1398,1886
204,9,1368,1850
208,2,1382,1865
209,3,1363,1840
213,2,1369,1849
216,3,1375,1850
