nrh,ix,L,R
1,7,378,160
2,5,379,148
3,2,373,165
5,5,381,173
6,6,396,178
8,4,400,198
9,5,396,197
10,9,391,183
12,1,394,221
13,8,400,225
14,2,390,205
15,1,406,216
16,3,438,236
17,6,413,182
18,6,408,213
19,7,392,212
21,6,419,215
22,9,430,243
23,7,432,204
24,1,382,236
25,9,430,218
26,6,385,254
27,1,372,214
28,1,392,247
29,5,397,259
30,4,388,245
31,9,370,215
32,6,399,243
33,1,417,273
34,2,347,229
35,4,366,241
36,2,406,286
37,5,339,269
38,6,418,286
39,3,408,267
40,7,414,271
41,8,346,204
43,2,377,270
45,3,296,221
46,4,412,319
47,9,336,234
48,8,384,271
50,4,346,239
51,5,333,273
52,7,350,255
53,8,293,221
54,3,335,253
55,8,270,216
56,5,320,241
58,5,336,285
59,4,346,284
60,4,349,273
61,9,258,216
62,3,289,254
63,8,286,266
64,5,302,303
65,4,277,264
66,2,288,264
67,6,263,229
68,1,205,205
69,9,284,230
70,8,221,197
71,6,236,244
72,3,253,250
73,8,249,241
74,9,232,205
76,6,230,208
77,7,211,221
79,6,168,166
80,7,238,233
81,4,197,198
82,5,212,235
83,4,189,227
84,9,163,168
85,5,190,205
86,8,182,198
87,7,155,155
88,1,177,192
89,3,188,202
90,4,172,184
91,6,182,199
92,5,144,195
93,6,104,132
94,2,151,177
95,2,145,174
96,6,116,140
97,1,129,173
98,2,128,141
99,9,110,155
100,2,126,152
101,6,106,134
102,2,114,151
103,5,94,138
104,5,108,140
105,5,105,154
106,5,87,142
108,5,72,123
110,7,75,129
111,4,54,115
112,3,52,115
