nrh,ix,L,R
2,2,1058,1263
5,3,1058,1270
19,2,1050,1303
23,1,1042,1297
27,7,1053,1319
29,9,1045,1304
30,5,1053,1335
31,9,1054,1314
32,7,1051,1314
34,5,1056,1340
38,5,1076,1390
39,2,1057,1337
40,2,1051,1341
42,5,1059,1358
43,2,1046,1358
48,9,1046,1367
51,5,1051,1378
57,8,1039,1377
58,2,1040,1380
61,9,1030,1367
63,1,1048,1383
64,7,1033,1369
68,6,1047,1410
72,3,1063,1446
73,3,1051,1436
80,9,1033,1417
81,8,1020,1402
84,2,1019,1426
85,4,1037,1431
86,7,1028,1423
88,6,1014,1436
90,1,1033,1418
92,4,1015,1440
95,1,1021,1440
98,4,1007,1459
100,6,1031,1418
102,8,1009,1444
105,3,1019,1427
106,6,1009,1460
107,7,1007,1450
109,8,1034,1476
114,2,1004,1440
118,9,1004,1470
119,2,982,1480
126,6,988,1466
128,8,975,1468
130,1,997,1486
137,6,982,1511
140,4,966,1477
141,8,964,1467
150,4,959,1487
151,1,965,1505
152,8,959,1498
155,3,952,1493
157,8,930,1485
162,1,923,1500
165,9,945,1502
167,4,959,1518
168,6,928,1485
170,8,918,1491
172,8,913,1495
179,3,905,1512
180,9,926,1497
186,9,915,1535
189,1,918,1516
191,3,891,1485
192,7,919,1509
193,3,902,1516
194,7,900,1509
195,6,891,1503
196,4,896,1512
198,2,891,1504
199,9,883,1508
200,5,886,1508
202,9,855,1495
205,2,883,1525
206,7,875,1523
208,7,882,1503
210,3,870,1520
213,9,889,1510
214,2,875,1521
216,6,884,1552
217,9,861,1508
220,7,859,1521
221,9,855,1515
222,1,835,1500
224,6,852,1508
225,1,846,1517
227,1,825,1508
229,4,838,1507
231,9,849,1526
234,5,831,1525
235,9,831,1508
238,2,825,1524
239,3,838,1544
240,2,824,1532
244,1,824,1522
245,4,822,1531
246,2,822,1548
252,2,810,1529
