nrh,ix,L,R
2,6,1984,806
3,4,1978,843
4,4,2019,853
5,5,2006,880
6,3,1957,851
7,5,1995,870
8,5,1907,851
10,4,1916,899
11,4,1964,879
13,1,1997,904
17,2,1944,984
18,8,1957,1015
19,8,1867,1033
22,5,1806,1123
23,3,1803,1046
25,2,1821,1074
26,9,1798,1116
28,7,1766,1094
29,1,1838,1088
30,6,1823,1128
33,6,1719,1168
34,5,1666,1088
40,8,1694,1253
41,5,1616,1279
42,8,1645,1203
43,1,1583,1261
44,9,1562,1263
46,6,1575,1243
48,5,1609,1187
50,3,1634,1343
51,8,1557,1330
53,2,1471,1345
55,5,1433,1445
56,3,1399,1378
57,1,1379,1389
59,8,1472,1343
60,1,1430,1438
61,4,1403,1365
62,4,1361,1400
65,8,1235,1446
66,4,1337,1489
68,6,1224,1417
69,4,1271,1475
70,2,1241,1483
72,6,1220,1470
74,2,1252,1490
75,3,1184,1532
76,5,1142,1454
77,4,1153,1554
79,9,1102,1486
80,2,1147,1542
81,5,1096,1539
82,5,1140,1525
84,6,1041,1486
85,6,1104,1414
87,1,1060,1553
88,9,1098,1543
89,2,1018,1536
90,1,1038,1538
95,5,1000,1566
96,4,981,1561
100,4,941,1558
102,9,960,1597
103,3,971,1589
104,2,922,1557
105,5,863,1514
106,7,889,1524
107,7,919,1563
108,5,910,1539
110,6,875,1517
111,4,907,1566
116,7,952,1653
117,9,902,1606
121,2,897,1592
124,9,859,1577
125,7,900,1641
126,6,912,1626
127,2,890,1600
129,6,857,1575
133,3,897,1636
134,7,905,1632
135,7,845,1593
136,2,884,1631
137,8,840,1574
138,6,853,1610
139,2,866,1618
142,5,854,1616
143,3,823,1578
144,4,875,1635
145,9,856,1627
146,5,858,1612
147,8,870,1622
148,1,871,1642
151,5,835,1613
152,5,860,1639
153,4,836,1629
154,4,841,1623
156,1,840,1623
157,4,844,1642
158,2,834,1632
