nrh,ix,L,R
5,9,349,95
6,8,353,94
10,7,346,95
11,9,359,97
15,7,366,101
16,5,374,100
20,9,358,109
23,5,378,106
25,5,390,116
30,2,366,108
32,6,379,120
33,3,382,114
34,1,408,126
35,8,372,116
38,6,386,120
40,9,397,121
41,7,403,138
48,7,385,127
49,1,404,147
50,8,418,143
51,7,418,154
53,7,374,125
56,5,394,166
57,3,433,153
59,1,399,173
61,7,385,145
66,7,389,143
67,3,394,163
68,4,370,156
69,7,400,155
70,5,401,141
77,8,458,186
78,6,380,159
79,5,399,166
80,2,374,144
83,8,371,188
86,2,406,169
87,4,378,194
89,8,409,199
90,2,397,194
94,1,392,214
95,5,397,212
97,2,417,225
101,5,433,213
104,1,407,261
107,1,376,208
109,7,373,235
110,3,420,241
113,4,410,277
118,5,382,210
120,8,376,262
122,3,413,263
124,9,383,257
125,1,401,277
126,4,387,252
128,8,370,247
129,5,389,275
130,2,384,279
133,9,403,305
135,6,355,287
141,2,350,300
142,6,342,267
144,4,356,266
151,7,363,307
153,3,365,305
157,4,368,318
158,2,353,295
159,9,365,327
161,6,339,353
163,6,341,335
164,1,329,311
166,5,343,330
167,3,304,307
168,6,330,356
171,9,299,302
179,9,286,331
181,4,285,297
183,1,272,329
189,7,295,349
191,1,298,361
195,3,264,353
198,2,281,366
205,6,248,367
211,1,202,346
212,6,215,342
214,1,198,305
215,9,187,335
216,7,209,351
218,6,177,346
219,4,185,341
220,4,194,350
221,4,220,364
225,3,189,340
227,5,181,332
228,6,169,335
232,3,179,348
233,9,181,339
236,4,176,351
238,4,165,345
241,1,147,330
